"cluster","players","progressive_passes","carries","xT","interceptions","tackles","passing"
"1",51,3.10426749689707,0.438083768123364,2.00013160495628,0.802322042509478,1.10247355960691,87.0539215686274
"2",51,1.83144603613253,0.210536677583932,1.17383708058265,1.02801560353865,1.39954900204788,85.6366013071895
"3",29,4.28095306152304,0.879210394360443,2.82358085232416,1.1788813296014,1.48469657012804,86.5293103448276
"4",26,2.56857533314946,0.529836489968026,1.70564876584032,1.61912815759671,1.89605982865109,84.1576923076923
