"Player","Squad","League","Season","Age","cluster","role_profile","scouting_score","progression_index","padj_interceptions","padj_tackles"
"Benoît Badiashile","Chelsea","Premier League","2023-2024",22,"1","Standard Build-up Distributor",2.85087962420758,1.28442783664905,1.02655129182398,1.27158904488087
"Joachim Andersen","Fulham","Premier League","2024-2025",28,"1","Standard Build-up Distributor",2.85041930485962,1.60255365755635,1.1622017144952,1.08158063115824
"Harry Maguire","Manchester Utd","Premier League","2024-2025",31,"2","Limited / Reactive Defender",2.84867080771498,1.18186900788461,1.78209029673631,1.57465636578335
"Nathan Zeze","Nantes","Ligue 1","2024-2025",19,"2","Limited / Reactive Defender",2.84698185094435,1.10251858774664,1.27048304124709,1.98151150801215
"Stefan Bell","Mainz 05","Bundesliga","2024-2025",32,"2","Limited / Reactive Defender",2.84586866533159,1.13758313641374,1.55558758600364,1.47600272803382
"Sebastiaan Bornauw","Wolfsburg","Bundesliga","2023-2024",24,"2","Limited / Reactive Defender",2.84462739091561,1.07531414343198,1.16519800893886,1.64417325638404
"Axel Disasi","Chelsea","Premier League","2023-2024",25,"1","Standard Build-up Distributor",2.84084620845513,1.75074476298891,0.662907573315544,1.09070730167048
"Chadi Riad","Betis","La Liga","2023-2024",20,"2","Limited / Reactive Defender",2.83734054902888,0.676509274839123,1.0931804499346,1.60309301749609
"Julian Chabot","Stuttgart","Bundesliga","2024-2025",26,"1","Standard Build-up Distributor",2.83357695897226,1.65516637269027,1.29446266698349,1.37344596075032
"Cedric Zesiger","Wolfsburg","Bundesliga","2023-2024",25,"1","Standard Build-up Distributor",2.82777331259724,1.82552227366985,0.962955742009412,1.25219310681587
"Murillo","Nott'ham Forest","Premier League","2024-2025",22,"1","Standard Build-up Distributor",2.82734093488467,1.44986413317871,1.03935520162948,1.50103922987534
"Leo Skiri Østigård","Hoffenheim","Bundesliga","2024-2025",24,"1","Standard Build-up Distributor",2.82681850484883,1.76721280129086,0.952093305655041,1.13456937560074
"Raúl Torrente","Granada","La Liga","2023-2024",21,"2","Limited / Reactive Defender",2.8266772058964,1.07051881541634,0.961274006311314,1.91552077812956
"Edmond Tapsoba","Leverkusen","Bundesliga","2024-2025",25,"4","Elite Progressive Distributor",2.82541722534735,2.65239313703966,0.68225671910155,1.0491261238446
"Keven Schlotterbeck","Augsburg","Bundesliga","2024-2025",27,"1","Standard Build-up Distributor",2.8248184438719,1.60061066954537,1.07430915848133,1.39993347134138
"Axel Witsel","Atlético Madrid","La Liga","2023-2024",34,"1","Standard Build-up Distributor",2.81795249795421,1.25843700327338,0.715164569170882,1.31501206809727
"Erhan Mašović","Bochum","Bundesliga","2024-2025",25,"2","Limited / Reactive Defender",2.81262370046442,1.36338421763917,1.2632672946738,1.58809068891442
"Igor","Brighton","Premier League","2024-2025",26,"1","Standard Build-up Distributor",2.81090159866166,1.87287115962987,0.768201166595145,1.00945725553815
"Ignasi Miquel","Granada","La Liga","2023-2024",30,"2","Limited / Reactive Defender",2.80931071164925,1.08223978704787,1.34687667568984,1.49019685577437
"Marin Pongračić","Fiorentina","Serie A","2024-2025",26,"2","Limited / Reactive Defender",2.80807875021211,1.08615115835805,0.935974932469385,1.33517456193938
"Pietro Comuzzo","Fiorentina","Serie A","2024-2025",19,"2","Limited / Reactive Defender",2.80616922228161,1.36247558866765,1.18694717652683,1.71954980148587
"Miguel Ángel Rubio","Granada","La Liga","2023-2024",25,"2","Limited / Reactive Defender",2.79960480115079,0.823913186390579,1.482284024935,1.32891281943623
"Caleb Okoli","Leicester City","Premier League","2024-2025",23,"2","Limited / Reactive Defender",2.79904573755781,1.09497415373245,1.2132863865826,1.86460286405841
"Benedikt Gimber","Heidenheim","Bundesliga","2024-2025",27,"2","Limited / Reactive Defender",2.79855961492902,0.729711366679664,1.18557751249426,2.45447239976879
"Abdoulaye Niakhate Ndiaye","Brest","Ligue 1","2024-2025",22,"2","Limited / Reactive Defender",2.79791588079717,0.923073049873301,0.800177939520209,2.31684194746619
"Aridane Hernández","Rayo Vallecano","La Liga","2024-2025",35,"1","Standard Build-up Distributor",2.79589404104899,1.3313925645114,0.884332381622429,1.44325369543304
"Arthur Chaves","Hoffenheim","Bundesliga","2024-2025",23,"2","Limited / Reactive Defender",2.78730128262758,1.06963446881843,1.34824648242963,1.85567789387555
"Ivan Ordets","Bochum","Bundesliga","2024-2025",32,"2","Limited / Reactive Defender",2.78369627186269,0.993280608393813,1.86678003480334,1.18352080801843
"Tim Siersleben","Heidenheim","Bundesliga","2024-2025",24,"2","Limited / Reactive Defender",2.77993659614851,1.18480382128067,1.49761557430414,1.73863284209842
"Modibo Sagnan","Montpellier","Ligue 1","2024-2025",25,"2","Limited / Reactive Defender",2.77816993193153,1.05329510620404,1.14923469976969,2.06897666792459
"Clément Lenglet","Atlético Madrid","La Liga","2024-2025",29,"1","Standard Build-up Distributor",2.77608197348847,1.57247877470101,1.11650748892714,1.41633843060841
"Federico Gatti","Juventus","Serie A","2024-2025",26,"1","Standard Build-up Distributor",2.77272713555416,1.45737424967307,0.823943109956252,1.21521951913356
"Anthony Rouault","Rennes","Ligue 1","2024-2025",23,"1","Standard Build-up Distributor",2.77140119672407,1.35061376632465,0.909640080349499,1.28352671733682
"Yann Aurel Bisseck","Inter","Serie A","2024-2025",23,"4","Elite Progressive Distributor",2.76975565923455,2.35547362365351,0.873365932460978,0.992879139706774
"Sven Botman","Newcastle Utd","Premier League","2023-2024",23,"2","Limited / Reactive Defender",2.76965345288765,0.970207699381435,0.837792682371293,1.45527566085096
"Max Rosenfelder","Freiburg","Bundesliga","2024-2025",21,"1","Standard Build-up Distributor",2.76919544386117,1.40079911734583,0.719985806654239,1.66816656286987
"William Saliba","Arsenal","Premier League","2024-2025",23,"1","Standard Build-up Distributor",2.76787454827481,1.64942881353344,0.635483554475446,1.52278787381143
"Nathaniel Adjei","Lorient","Ligue 1","2023-2024",20,"1","Standard Build-up Distributor",2.76742332102818,1.2177313845101,1.21808387097482,1.17200972503814
"Diego Llorente","Betis","La Liga","2024-2025",30,"2","Limited / Reactive Defender",2.76192279027733,1.19295555126446,1.55194510678982,1.46498808726282
"Myles Lewis-Skelly","Arsenal","Premier League","2024-2025",17,"4","Elite Progressive Distributor",2.7607573212432,2.41078568229164,0.622435703402564,1.26835451503976
"Jean-Clair Todibo","West Ham","Premier League","2024-2025",24,"2","Limited / Reactive Defender",2.75996355306871,0.921022598527445,1.19209911279234,1.99818067492284
"Jamaal Lascelles","Newcastle Utd","Premier League","2023-2024",29,"1","Standard Build-up Distributor",2.75769583281115,1.2375078369349,0.772525468779154,1.3855871575558
"Cenk Özkacar","Valencia","La Liga","2023-2024",22,"1","Standard Build-up Distributor",2.755613460444,1.47195688197549,1.0153093724502,1.43124355479056
"Nathaniel Clyne","Crystal Palace","Premier League","2023-2024",32,"2","Limited / Reactive Defender",2.7507927947803,1.12527227318155,0.989628387951321,1.82743907676464
"Philipp Lienhart","Freiburg","Bundesliga","2024-2025",28,"4","Elite Progressive Distributor",2.75065899476212,2.07559812642848,1.09424827206551,0.858058124236479
"Chancel Mbemba","Marseille","Ligue 1","2023-2024",28,"1","Standard Build-up Distributor",2.74076208143108,2.11655660518321,0.60553603347156,1.20263432611332
"Giangiacomo Magnani","Hellas Verona","Serie A","2024-2025",28,"2","Limited / Reactive Defender",2.73985783447836,1.15202418267121,1.35595381191479,1.69394615716952
"Santiago Mouriño","Alavés","La Liga","2024-2025",22,"2","Limited / Reactive Defender",2.73840713705042,1.14190475541223,1.19417281836825,1.73249721728163
"Derek Cornelius","Marseille","Ligue 1","2024-2025",26,"1","Standard Build-up Distributor",2.72139333600087,1.76055346444916,0.842085419365752,1.30855870647442
"Sebastian Walukiewicz","Empoli","Serie A","2023-2024",23,"2","Limited / Reactive Defender",2.7205558670154,1.00091861314539,0.869401416428641,1.79695874628291
"Konstantinos Mavropanos","West Ham","Premier League","2024-2025",26,"2","Limited / Reactive Defender",2.71578410160343,1.2833043317995,1.51790322952157,1.48917593993118
"Mattia Bani","Genoa","Serie A","2024-2025",30,"2","Limited / Reactive Defender",2.71162797202528,0.794199651371268,1.42142711496471,1.46104697016597
"Loïc Bade","Sevilla","La Liga","2024-2025",24,"2","Limited / Reactive Defender",2.7099901725851,0.9483519449312,0.965552076273269,1.49342404031982
"Aïssa Mandi","Villarreal","La Liga","2023-2024",31,"1","Standard Build-up Distributor",2.70898486386567,1.74128995474143,0.819994666116505,1.1987301266134
"Mateusz Wieteska","Cagliari","Serie A","2023-2024",26,"1","Standard Build-up Distributor",2.70688903722584,1.63121648495487,1.04440553628856,1.20853707656166
"David Nemeth","St Pauli","Bundesliga","2024-2025",23,"2","Limited / Reactive Defender",2.70604054061738,1.23663483277729,0.877635572070641,1.74895680303914
"Arouna Sangante","Le Havre","Ligue 1","2024-2025",22,"1","Standard Build-up Distributor",2.70164464710833,1.54302220328585,1.16526121093022,1.45689949477096
"Matej Maglica","Darmstadt 98","Bundesliga","2023-2024",24,"1","Standard Build-up Distributor",2.70100599333536,1.46245846003633,0.964030083375445,1.45910277218488
"Diego Coppola","Hellas Verona","Serie A","2024-2025",20,"2","Limited / Reactive Defender",2.69097618929365,0.662678420680286,2.06088037017361,2.0157547412981
"Thomas Kristensen","Udinese","Serie A","2023-2024",21,"2","Limited / Reactive Defender",2.68562772175206,1.09588231026816,1.31027864661743,1.63590488857019
"Omar Alderete","Getafe","La Liga","2024-2025",27,"1","Standard Build-up Distributor",2.68523855655244,1.53418654276657,1.17991855109092,1.33993796543898
"Jaka Bijol","Udinese","Serie A","2024-2025",25,"2","Limited / Reactive Defender",2.68237276283943,1.37536850317813,1.24531604815219,1.47158699937914
"Renato Veiga","Juventus","Serie A","2024-2025",21,"1","Standard Build-up Distributor",2.6794958400545,1.46762436217449,1.31750600325897,1.40425939927416
"Logan Costa","Villarreal","La Liga","2024-2025",23,"1","Standard Build-up Distributor",2.67665892407464,1.74289217210712,0.796003533054516,1.31248179953979
"José María Giménez","Atlético Madrid","La Liga","2024-2025",29,"2","Limited / Reactive Defender",2.67599552385243,1.14186735774045,1.27222034998212,1.36949205080168
"Auston Trusty","Sheffield Utd","Premier League","2023-2024",24,"2","Limited / Reactive Defender",2.67382686850651,0.749491943693545,1.37965308415818,1.85805877688624
"Dylan Batubinsika","Saint-Étienne","Ligue 1","2024-2025",28,"2","Limited / Reactive Defender",2.67308573694071,1.06974789364342,1.59900106098625,1.31064316961621
"Max Geschwill","Holstein Kiel","Bundesliga","2024-2025",23,"1","Standard Build-up Distributor",2.66302912341931,1.67893516819108,1.34598518655537,1.34898827026133
"Mats Hummels","Roma","Serie A","2024-2025",35,"2","Limited / Reactive Defender",2.65619786632018,1.16884550933719,1.50623359775209,1.84139424288914
"Rúben Dias","Manchester City","Premier League","2024-2025",27,"4","Elite Progressive Distributor",2.65589147777942,2.74730723670116,0.744957577847532,0.763692635054389
"Aleksandar Sedlar","Alavés","La Liga","2023-2024",31,"1","Standard Build-up Distributor",2.65503215632432,1.18810621178523,1.06795894461286,1.28686441234023
"Mamadou Sarr","Strasbourg","Ligue 1","2024-2025",18,"2","Limited / Reactive Defender",2.65253847204359,0.900313898928448,1.06819684756995,1.53861160504763
"Leopold Querfeld","Union Berlin","Bundesliga","2024-2025",20,"2","Limited / Reactive Defender",2.65181742205745,1.1024242971839,1.11370499912314,1.47974475289034
"Max Kilman","West Ham","Premier League","2024-2025",27,"1","Standard Build-up Distributor",2.65115866228166,1.46103884033208,1.01384242783665,1.11416345118065
"Robin Koch","Eint Frankfurt","Bundesliga","2024-2025",28,"1","Standard Build-up Distributor",2.64943703919602,1.32825124459817,0.975225968147673,1.05112108642287
"Jay Idzes","Venezia","Serie A","2024-2025",24,"2","Limited / Reactive Defender",2.64596678163093,1.09172018067567,1.09253102934327,1.52022657726046
"Jakov Medić","Bochum","Bundesliga","2024-2025",25,"2","Limited / Reactive Defender",2.64564831878127,0.731148165138803,1.31014016560723,1.10664402208119
"Aritz Elustondo","Real Sociedad","La Liga","2024-2025",30,"1","Standard Build-up Distributor",2.64323697149538,1.52228563618016,0.889902531420561,1.40651545698277
"Gaby Jean","Lecce","Serie A","2024-2025",24,"1","Standard Build-up Distributor",2.64011192090408,1.21720151760291,0.879886099140413,1.26441038565947
"Nico Elvedi","Gladbach","Bundesliga","2024-2025",27,"2","Limited / Reactive Defender",2.63627297764313,1.19285871463441,1.15583253149715,1.49283650269302
"Cédric Kipré","Reims","Ligue 1","2024-2025",27,"2","Limited / Reactive Defender",2.63478625490304,1.43911831385199,1.22194860529965,1.61917470373822
"José Luis Palomino","Cagliari","Serie A","2024-2025",34,"2","Limited / Reactive Defender",2.63467049890813,1.23677628731051,1.29495966876163,1.65167267619585
"Marvin Friedrich","Gladbach","Bundesliga","2024-2025",28,"1","Standard Build-up Distributor",2.62684260542509,1.54179633877948,0.729792398314183,1.35561303282277
"Natan","Betis","La Liga","2024-2025",23,"2","Limited / Reactive Defender",2.62304662784053,1.03286108038318,1.24802547441855,1.59733846021603
"Becir Omeragic","Montpellier","Ligue 1","2024-2025",22,"1","Standard Build-up Distributor",2.6182755724444,1.32275350625042,0.78016698680332,1.51958238197399
"Morato","Nott'ham Forest","Premier League","2024-2025",23,"2","Limited / Reactive Defender",2.61735133413101,0.881413646594305,1.0513969132664,1.84811747250933
"Christian Kabasele","Udinese","Serie A","2024-2025",33,"1","Standard Build-up Distributor",2.61622515268424,1.52477736895466,1.19165683582165,1.52012270592497
"Rafa Marín","Alavés","La Liga","2023-2024",21,"1","Standard Build-up Distributor",2.61613918151722,1.24085494393834,1.08110275152435,1.1525025530929
"Daniele Ghilardi","Hellas Verona","Serie A","2024-2025",21,"2","Limited / Reactive Defender",2.60881743474525,1.22911325270657,1.33270063434256,1.91785110069052
"Ismaël Traoré","Metz","Ligue 1","2023-2024",36,"2","Limited / Reactive Defender",2.60830270616304,0.598206446373542,1.32859612566789,1.09756198491918
"Miloš Veljković","Werder Bremen","Bundesliga","2024-2025",28,"1","Standard Build-up Distributor",2.59910743646194,2.16721400356397,0.603081195128583,1.14153255231111
"Denis Vavro","Wolfsburg","Bundesliga","2024-2025",28,"1","Standard Build-up Distributor",2.59850609789768,1.42465807997999,1.33612076756899,0.998989123297009
"Pablo Marí","Fiorentina","Serie A","2024-2025",30,"2","Limited / Reactive Defender",2.59643039450012,0.973313731074139,1.6517999586885,1.33075374825347
"Thiago Silva","Chelsea","Premier League","2023-2024",38,"1","Standard Build-up Distributor",2.59186486234743,1.39505386893605,0.85653286875451,1.01455124540768
"Yoann Salmier","Le Havre","Ligue 1","2023-2024",30,"1","Standard Build-up Distributor",2.58781088835064,1.24254303960168,1.01377630360198,1.16935315487784
"Strahinja Pavlović","Milan","Serie A","2024-2025",23,"4","Elite Progressive Distributor",2.57981309343061,2.23395866911884,0.637422454351367,1.57750823559696
"Ladislav Krejčí","Girona","La Liga","2024-2025",25,"4","Elite Progressive Distributor",2.57977749726363,2.24255827052562,0.944578981883995,0.795174818856703
"Christoph Zimmermann","Darmstadt 98","Bundesliga","2023-2024",30,"2","Limited / Reactive Defender",2.57561449766635,1.17548112065783,1.14354085927513,1.71780018140516
"Patric","Lazio","Serie A","2023-2024",30,"1","Standard Build-up Distributor",2.5711695584437,1.53808724408641,0.622607274575784,1.01186033089536
"Yunis Abdelhamid","Saint-Étienne","Ligue 1","2024-2025",36,"2","Limited / Reactive Defender",2.56764530523577,0.959372344052431,1.20852693196665,1.54336250143051
"Lorenzo Pirola","Salernitana","Serie A","2023-2024",21,"2","Limited / Reactive Defender",2.56612888449531,1.17644861628408,1.03782294173938,1.55480030814699
"Moussa Niakhate","Lyon","Ligue 1","2024-2025",28,"1","Standard Build-up Distributor",2.56348276009465,1.71811048116555,0.747579863690283,1.28351285587507
"Jonathan Tah","Leverkusen","Bundesliga","2024-2025",28,"1","Standard Build-up Distributor",2.56117566643722,1.96652132270724,0.805414497304558,0.579728330133756
"Wesley Fofana","Chelsea","Premier League","2024-2025",23,"1","Standard Build-up Distributor",2.56036676096493,1.44703266000703,0.956672855543943,1.06652884372813
"Martin Erlic","Sassuolo","Serie A","2023-2024",25,"1","Standard Build-up Distributor",2.55985877350859,1.2113271863328,0.978936438603372,1.30144646112475
"Brendan Chardonnet","Brest","Ligue 1","2024-2025",29,"2","Limited / Reactive Defender",2.55739427772207,0.889960276934163,1.13880357202422,1.70569153194475
"Gabriel Paulista","Valencia","La Liga","2023-2024",32,"2","Limited / Reactive Defender",2.55682599893244,0.930669609421853,1.32846011323443,0.945300263431197
"Sepp Van Den Berg","Brentford","Premier League","2024-2025",22,"1","Standard Build-up Distributor",2.55528559724898,1.19646954209931,0.869767647193346,1.46129766908561
"Alessio Romagnoli","Lazio","Serie A","2024-2025",29,"2","Limited / Reactive Defender",2.54427552077756,1.25772908259958,0.944813607971068,1.60446701030781
"Jon Pacheco","Real Sociedad","La Liga","2023-2024",22,"1","Standard Build-up Distributor",2.54012044405381,1.35639990168122,0.826085260478053,1.56292657073598
"Manuel Gulde","Freiburg","Bundesliga","2023-2024",32,"1","Standard Build-up Distributor",2.53979755202443,1.3579661702112,1.04420662140742,1.50578644853824
"Nacho","Real Madrid","La Liga","2023-2024",33,"1","Standard Build-up Distributor",2.53893180502698,1.31540096589748,0.932640238424915,1.05578807574694
"Danilho Doekhi","Union Berlin","Bundesliga","2024-2025",26,"2","Limited / Reactive Defender",2.53880871073888,1.23792615323113,1.36248452152331,1.28598604475685
"Radu Drăgușin","Tottenham","Premier League","2024-2025",22,"1","Standard Build-up Distributor",2.53796747949626,1.22440934661613,1.11750671267537,1.06825822197712
"Amir Rrahmani","Napoli","Serie A","2024-2025",30,"1","Standard Build-up Distributor",2.53532991173618,2.05915602586349,0.695106628104682,0.983092574800454
"Marc-Oliver Kempf","Como","Serie A","2024-2025",29,"1","Standard Build-up Distributor",2.53418013342341,1.32898280347682,1.09717957648395,1.11903361779462
"Carl Starfelt","Celta Vigo","La Liga","2024-2025",29,"2","Limited / Reactive Defender",2.52839572711822,1.16735259136348,1.19880748957374,1.56830118356676
"Ben Davies","Tottenham","Premier League","2024-2025",31,"1","Standard Build-up Distributor",2.52514347021215,1.5895212967039,0.955420712024318,1.32162585378773
"Ardian Ismajli","Empoli","Serie A","2024-2025",27,"2","Limited / Reactive Defender",2.5240282892013,0.628664839296879,1.93048643716478,1.29659109891282
"Enrico Del Prato","Parma","Serie A","2024-2025",24,"1","Standard Build-up Distributor",2.52347491697744,1.08828351872041,0.765920311130717,1.21746109598784
"Sokratis Papastathopoulos","Betis","La Liga","2023-2024",35,"2","Limited / Reactive Defender",2.51985079072471,0.602908317846779,0.826815644341525,1.73668016554309
"Craig Dawson","Wolves","Premier League","2024-2025",34,"2","Limited / Reactive Defender",2.50808469955996,1.00202950417321,1.04943076821068,1.56578605426321
"Niklas Stark","Werder Bremen","Bundesliga","2024-2025",29,"2","Limited / Reactive Defender",2.50148899714964,1.10772514708214,1.38145695648133,1.41046359510534
"Gautier Lloris","Le Havre","Ligue 1","2024-2025",29,"2","Limited / Reactive Defender",2.48679060949818,1.34153321355329,0.959591372712531,1.7691026123507
"Antonio Rüdiger","Real Madrid","La Liga","2024-2025",31,"1","Standard Build-up Distributor",2.48639721674639,1.62673501301461,0.536751759901439,0.928289351327175
"Jorge Sáenz","Leganés","La Liga","2024-2025",27,"2","Limited / Reactive Defender",2.48242196138463,0.88855584395915,1.21929366261581,1.7611299421694
"Gianluca Mancini","Roma","Serie A","2023-2024",27,"1","Standard Build-up Distributor",2.48213326368247,1.98350651505507,0.926071179400795,0.963057895611559
"Matthijs De Ligt","Manchester Utd","Premier League","2024-2025",24,"2","Limited / Reactive Defender",2.48179884267318,1.03819723416349,1.35464937440257,1.38385912711824
"Andreas Hanche-Olsen","Mainz 05","Bundesliga","2024-2025",27,"2","Limited / Reactive Defender",2.47424752037913,1.02917552926747,0.985993350669201,1.53625968312736
"Bafodé Diakité","Lille","Ligue 1","2024-2025",23,"1","Standard Build-up Distributor",2.4717721327434,1.25573932135939,0.801855533769972,0.966642014863019
"Charlie Cresswell","Toulouse","Ligue 1","2024-2025",21,"2","Limited / Reactive Defender",2.46840296959368,1.03196380416653,1.00253029798674,1.28139863089302
"Chumi","Almería","La Liga","2023-2024",24,"1","Standard Build-up Distributor",2.46643340685518,1.10831891151813,0.71096438632174,1.38358932611489
"Levi Colwill","Chelsea","Premier League","2024-2025",21,"1","Standard Build-up Distributor",2.46196080740811,1.54943568943254,0.861884688742608,1.21140556266811
"Botond Balogh","Parma","Serie A","2024-2025",22,"2","Limited / Reactive Defender",2.45342411407376,0.790367069801427,1.19302268259939,1.68710079571202
"Robin Le Normand","Atlético Madrid","La Liga","2024-2025",27,"1","Standard Build-up Distributor",2.44660189752171,1.05726496875985,0.672754340358607,1.3329520052172
"Jannik Vestergaard","Leicester City","Premier League","2024-2025",31,"2","Limited / Reactive Defender",2.443815283932,0.94126959678568,1.1147045575527,1.52279261076988
"Saidou Sow","Strasbourg","Ligue 1","2024-2025",22,"2","Limited / Reactive Defender",2.44039211504079,0.721321442218207,1.31084822028485,1.2048190581656
"Jon Martin","Real Sociedad","La Liga","2024-2025",18,"1","Standard Build-up Distributor",2.43444975249479,1.42813688177414,0.95129610776944,1.36363162877306
"Abdel Abqar","Alavés","La Liga","2024-2025",25,"1","Standard Build-up Distributor",2.43370931121865,1.3078004217722,1.2202333635618,1.24364695692646
"Catena","Osasuna","La Liga","2024-2025",29,"2","Limited / Reactive Defender",2.4324229609369,1.11217029772345,1.05890962984778,1.40122498241456
"Danilo D'Ambrosio","Monza","Serie A","2024-2025",35,"1","Standard Build-up Distributor",2.42816433206274,1.36809548373284,0.952176014288429,1.57416647047399
"Simone Romagnoli","Frosinone","Serie A","2023-2024",33,"2","Limited / Reactive Defender",2.42403193000475,0.677983068050188,1.13907192341401,1.41932547912366
"Stefan De Vrij","Inter","Serie A","2024-2025",32,"1","Standard Build-up Distributor",2.42176183782892,1.61204725132906,1.0252921977784,0.991648239738479
"Wout Faes","Leicester City","Premier League","2024-2025",26,"2","Limited / Reactive Defender",2.41734515178159,1.16950605153168,0.942892686567794,1.44756023987689
"Julien Laporte","Lorient","Ligue 1","2023-2024",29,"1","Standard Build-up Distributor",2.41614316299622,1.13930388634757,0.732797055644932,1.25573185604499
"Daniele Rugani","Juventus","Serie A","2023-2024",29,"1","Standard Build-up Distributor",2.41427227053504,1.37137935924685,0.843579355760555,1.08733350724694
"Alberto Dossena","Como","Serie A","2024-2025",25,"2","Limited / Reactive Defender",2.41038160077371,0.83827306143753,1.06184071986868,1.54157413645285
"Matthias Ginter","Freiburg","Bundesliga","2024-2025",30,"1","Standard Build-up Distributor",2.4103351351428,1.60202989735753,0.743125204603598,1.10813269414759
"César Montes","Almería","La Liga","2023-2024",26,"1","Standard Build-up Distributor",2.40749819399313,1.14432753819489,0.775973213649795,1.29468019604323
"James Tarkowski","Everton","Premier League","2024-2025",31,"2","Limited / Reactive Defender",2.40645292991708,1.05701665685453,1.13452464924428,1.72350240826133
"Francesco Acerbi","Inter","Serie A","2024-2025",36,"1","Standard Build-up Distributor",2.40641100109917,1.57741576598114,1.12170286251656,1.15007774700518
"Juan Cruz Armada","Osasuna","La Liga","2024-2025",32,"1","Standard Build-up Distributor",2.39890415053984,1.37489618055333,0.768543207504279,1.56433624364702
"Raúl Asencio","Real Madrid","La Liga","2024-2025",21,"2","Limited / Reactive Defender",2.38063288442352,0.776026545706893,0.894467102021682,1.21991742082007
"Sebastiano Luperto","Cagliari","Serie A","2024-2025",27,"1","Standard Build-up Distributor",2.37705317589044,1.22849486481986,0.829481222826827,1.18451772184832
"Simon Kjær","Milan","Serie A","2023-2024",34,"1","Standard Build-up Distributor",2.37318301192206,1.57584551098983,0.786134115356777,1.22381320370322
"Juan Herzog","Las Palmas","La Liga","2024-2025",21,"2","Limited / Reactive Defender",2.36999524796068,0.799730887821605,1.28803699421495,1.19402888063183
"Kialonda","Lecce","Serie A","2024-2025",26,"2","Limited / Reactive Defender",2.36940823135329,0.708643297405706,1.41385283842639,1.60963876061016
"Juan Berrocal","Getafe","La Liga","2024-2025",25,"2","Limited / Reactive Defender",2.36774874688262,0.935771374699708,1.18599300006522,1.31899645911525
"Aitor Paredes","Athletic Club","La Liga","2024-2025",24,"2","Limited / Reactive Defender",2.36335904114763,0.978439325482364,1.15343477086573,1.04337833473584
"Gabriel Osho","Auxerre","Ligue 1","2024-2025",25,"1","Standard Build-up Distributor",2.36170449206295,1.1280637075678,0.846870253480053,1.39010430647972
"Jubal","Auxerre","Ligue 1","2024-2025",30,"2","Limited / Reactive Defender",2.35670540701625,0.547260541949696,0.954184520294675,1.98357989472649
"Juan Jesus","Napoli","Serie A","2024-2025",33,"1","Standard Build-up Distributor",2.35554783333122,1.59277391857037,0.798635420532914,1.59057742336504
"Florent Ogier","Clermont Foot","Ligue 1","2023-2024",34,"2","Limited / Reactive Defender",2.35090010215141,0.883221243353199,0.937374698200966,1.58708372930121
"Trevoh Chalobah","Chelsea","Premier League","2024-2025",25,"1","Standard Build-up Distributor",2.35030874666813,1.49666683955466,0.920558193649543,1.1337661579977
"Issa Diop","Fulham","Premier League","2024-2025",27,"2","Limited / Reactive Defender",2.3468679535344,0.884902733822761,0.807378198832559,1.64501452353556
"Santiago Bueno","Wolves","Premier League","2024-2025",25,"2","Limited / Reactive Defender",2.34570833533134,0.678687199832263,0.986655281382555,2.11873283377847
"Jake O'Brien","Lyon","Ligue 1","2023-2024",22,"1","Standard Build-up Distributor",2.34549537863796,1.18871972023227,0.531983670413447,0.847571280250248
"Jordan Lefort","Angers","Ligue 1","2024-2025",30,"2","Limited / Reactive Defender",2.33765582837256,1.08887686993112,0.922435258468209,1.43412440293045
"Yael Mouanga","Montpellier","Ligue 1","2024-2025",19,"2","Limited / Reactive Defender",2.32742851221678,1.02834182687116,0.99582069528693,1.36883339399678
"Luca Ranieri","Fiorentina","Serie A","2024-2025",25,"1","Standard Build-up Distributor",2.32611120038906,1.20749525635965,0.905161040043524,1.31814295083935
"Edoardo Goldaniga","Como","Serie A","2024-2025",30,"1","Standard Build-up Distributor",2.32347550468758,1.31867897830142,1.1235274380545,1.24863108430781
"Fikayo Tomori","Milan","Serie A","2024-2025",26,"1","Standard Build-up Distributor",2.32189988532569,1.50513241040597,0.809440746079032,1.43517112481996
"Giovanni Leoni","Parma","Serie A","2024-2025",17,"2","Limited / Reactive Defender",2.30979962095799,0.737220900169038,1.21219815706225,1.34659707421309
"Christopher Jullien","Montpellier","Ligue 1","2023-2024",30,"2","Limited / Reactive Defender",2.30608557271908,0.859355116225269,0.944350678192062,1.2660748057243
"César Tárrega","Valencia","La Liga","2024-2025",22,"1","Standard Build-up Distributor",2.30502725964453,1.09593832500396,0.736743122424755,1.42242844552262
"Ethan Pinnock","Brentford","Premier League","2024-2025",31,"2","Limited / Reactive Defender",2.30474049392357,0.886524265055828,1.17597622345544,1.67737307140926
"Jarrad Branthwaite","Everton","Premier League","2024-2025",22,"2","Limited / Reactive Defender",2.3041913230936,1.03717583485016,0.930320059684297,1.2449573195455
"Jakub Kiwior","Arsenal","Premier League","2024-2025",24,"1","Standard Build-up Distributor",2.30087063811999,1.56740520830723,0.659478404469179,1.42411175828736
"Domingos Duarte","Getafe","La Liga","2024-2025",29,"2","Limited / Reactive Defender",2.29777004962747,0.957612533440156,0.943350522888038,1.39323643927173
"Ko Itakura","Gladbach","Bundesliga","2024-2025",27,"1","Standard Build-up Distributor",2.29517132632808,1.12853417933807,0.905919989592203,1.2736053044034
"Marko Ivezić","Holstein Kiel","Bundesliga","2024-2025",22,"2","Limited / Reactive Defender",2.28981529164763,0.955033420785794,1.06690675595479,1.23500896452489
