Player,Squad,League,Pos,Age,Min,PrgP,PrgC,KP,Cmp%,Tkl,Int,Recov,Crs
Murillo,Nott'ham Forest,Premier League,DF,22,3188,115,22,13,78.5,53,36,142,14
Myles Lewis-Skelly,Arsenal,Premier League,DF,17,1369,71,37,8,91.2,22,7,53,10
Nicolás Domínguez,Nott'ham Forest,Premier League,"MF,FW",26,1963,83,16,13,86.7,86,29,114,7
Radu Drăgușin,Tottenham,Premier League,DF,22,1252,37,7,4,85.2,10,15,48,1
Rasmus Højlund,Manchester Utd,Premier League,FW,21,2004,18,28,16,74.7,3,2,35,8
Sandro Tonali,Newcastle Utd,Premier League,MF,24,2630,128,37,28,83.7,51,34,177,54
Simon Adingra,Brighton,Premier League,"FW,MF",22,1097,18,50,16,75.9,23,8,47,41
André,Wolves,Premier League,MF,23,2472,109,10,18,92.9,91,37,194,0
Bilal El Khannouss,Leicester City,Premier League,"MF,FW",20,2182,128,73,42,75.1,50,6,92,89
Caleb Okoli,Leicester City,Premier League,DF,23,1125,32,3,0,86.3,25,15,44,1
Cameron Burgess,Ipswich Town,Premier League,DF,28,1541,42,2,7,80.9,17,14,44,0
Dean Huijsen,Bournemouth,Premier League,DF,19,2427,132,41,15,83.4,36,51,105,12
Evanilson,Bournemouth,Premier League,FW,24,2319,28,29,26,71.3,16,1,67,0
Jack Clarke,Ipswich Town,Premier League,"FW,MF",23,1181,44,39,28,76.8,32,7,75,13
Jacob Greaves,Ipswich Town,Premier League,DF,23,2205,69,11,5,85.8,40,21,61,1
Jakub Stolarczyk,Leicester City,Premier League,GK,23,900,1,0,0,61.7,2,0,8,0
Lucas Bergvall,Tottenham,Premier League,MF,18,1212,49,33,11,87.4,39,24,73,21
Luke Woolfenden,Ipswich Town,Premier League,DF,25,1187,15,7,0,88.3,9,19,38,0
Mads Hermansen,Leicester City,Premier League,GK,24,2385,1,0,0,61,1,0,17,0
Mateus Fernandes,Southampton,Premier League,MF,20,2909,145,76,34,79.9,89,28,179,113
Mats Wieffer,Brighton,Premier League,"DF,MF",24,1015,62,18,16,85.1,58,17,68,13
Matt O'Riley,Brighton,Premier League,MF,23,938,38,22,21,76.5,16,13,29,51
Morato,Nott'ham Forest,Premier League,DF,23,907,19,1,0,77,22,10,36,0
Nikola Milenković,Nott'ham Forest,Premier League,DF,26,3330,51,3,9,82.3,51,27,85,0
Patrick Dorgu,Lecce,Serie A,"DF,FW",19,1840,54,68,19,77.5,45,18,99,40
Riccardo Calafiori,Arsenal,Premier League,DF,22,983,54,22,6,85.6,27,9,35,11
Ryan Manning,Southampton,Premier League,"DF,MF",28,1462,35,14,34,77.1,28,17,65,84
Sam Morsy,Ipswich Town,Premier League,MF,32,2751,120,22,24,86.4,68,29,157,15
Sammie Szmodics,Ipswich Town,Premier League,"FW,MF",28,992,19,16,5,74.1,16,6,42,14
Wes Burns,Ipswich Town,Premier League,"FW,DF",29,926,8,38,10,60.5,13,10,50,46
Woyo Coulibaly,Parma,Serie A,DF,25,1084,41,36,8,86.7,13,8,60,5
Yankuba Minteh,Brighton,Premier League,"FW,MF",20,1838,48,90,29,62.5,48,11,85,91
Yukinari Sugawara,Southampton,Premier League,"DF,MF",24,1557,72,33,17,80,31,11,44,70
Lorenzo De Silvestri,Bologna,Serie A,DF,36,1060,46,4,5,79.1,11,10,26,23
Nicolas Viola,Cagliari,Serie A,"FW,MF",34,1267,46,21,28,63.1,14,3,52,79
Gianluca Caprari,Monza,Serie A,"MF,FW",31,1651,81,43,30,79.1,19,8,57,80
Nicola Leali,Genoa,Serie A,GK,31,2610,0,0,0,71.1,0,0,30,0
Francesco Acerbi,Inter,Serie A,DF,36,1710,62,19,9,92.5,23,26,62,10
Juan Jesus,Napoli,Serie A,DF,33,1074,50,3,1,89.6,25,9,30,0
Alessio Romagnoli,Lazio,Serie A,DF,29,2672,90,8,9,91.8,48,26,96,0
Alfred Duncan,Venezia,Serie A,MF,31,957,53,11,11,81.1,17,8,52,17
Danilo D'Ambrosio,Monza,Serie A,DF,35,1095,34,10,5,86.8,28,15,46,9
Paulo Dybala,Roma,Serie A,"FW,MF",30,1417,79,41,40,81.8,17,2,63,62
Piotr Zieliński,Inter,Serie A,MF,30,980,65,26,14,89.5,14,6,58,28
Bryan Cristante,Roma,Serie A,MF,29,2045,145,25,18,82.3,48,19,109,15
Simone Scuffet,Cagliari,Serie A,GK,28,1170,0,0,0,70.3,0,0,17,0
Łukasz Skorupski,Bologna,Serie A,GK,33,2364,0,0,0,78,1,0,47,0
Alberto Grassi,Empoli,Serie A,MF,29,2203,74,18,7,74.6,39,33,124,10
Alex Meret,Napoli,Serie A,GK,27,3005,1,0,0,85.9,0,0,61,0
Armando Izzo,Monza,Serie A,DF,32,2435,72,12,11,87.9,40,45,90,8
Danilo Cataldi,Fiorentina,Serie A,MF,29,1728,90,18,15,84.5,25,22,114,21
Federico Dimarco,Inter,Serie A,"DF,FW",26,2177,83,47,48,76.3,25,14,76,190
Leonardo Spinazzola,Napoli,Serie A,"DF,FW",31,1517,88,83,26,79.3,17,9,62,65
Lorenzo Pellegrini,Roma,Serie A,MF,28,1626,61,27,27,79.5,24,6,61,49
Manuel Locatelli,Juventus,Serie A,MF,26,2822,294,33,29,87.8,72,23,141,24
Milan Đurić,Monza,Serie A,FW,34,1270,21,2,5,49.2,1,2,13,0
Nicolò Barella,Inter,Serie A,MF,27,2493,235,63,55,82.1,50,12,165,68
Rolando Mandragora,Fiorentina,Serie A,MF,27,1931,92,11,31,77.8,23,17,61,40
Sebastiano Luperto,Cagliari,Serie A,DF,27,3240,96,22,8,83.9,48,33,139,8
Stefan De Vrij,Inter,Serie A,DF,32,1726,76,11,1,93.3,18,23,66,0
Berat Djimsiti,Atalanta,Serie A,DF,31,2640,109,32,11,87.7,53,40,102,11
Darko Lazović,Hellas Verona,Serie A,"DF,MF",33,1459,40,22,18,62.4,21,11,59,70
Edoardo Goldaniga,Como,Serie A,DF,30,2532,81,20,4,86.4,34,33,74,9
Giuseppe Pezzella,Empoli,Serie A,"DF,FW",26,2878,80,77,36,66.5,55,15,88,178
Matteo Politano,Napoli,Serie A,"FW,MF",30,2804,129,135,56,69.2,29,13,95,229
Mattia Zaccagni,Lazio,Serie A,FW,29,2686,114,91,55,75.8,38,29,86,156
Stefano Sabelli,Genoa,Serie A,DF,31,2058,88,36,18,68.5,58,22,92,60
Alessandro Bastoni,Inter,Serie A,DF,25,2401,162,62,27,88.4,46,22,96,64
Alessandro Buongiorno,Napoli,Serie A,DF,25,1924,82,27,5,90.8,39,35,84,1
Alessandro Deiola,Cagliari,Serie A,MF,28,1432,40,11,6,73.4,31,13,68,14
Alessio Zerbin,Venezia,Serie A,DF,25,1518,54,53,24,65.4,51,15,69,74
Andrea Pinamonti,Genoa,Serie A,FW,25,2850,46,20,15,62.8,10,1,53,17
Davide Frattesi,Inter,Serie A,MF,24,1225,31,23,7,82.5,17,5,48,8
Federico Ravaglia,Bologna,Serie A,GK,24,1056,0,0,1,78.4,0,0,16,0
Francesco Zampano,Venezia,Serie A,DF,30,1639,41,42,12,73.2,31,6,77,49
Karol Linetty,Torino,Serie A,MF,29,1540,47,18,10,84.6,39,12,63,4
Wladimiro Falcone,Lecce,Serie A,GK,29,3420,0,0,0,60.9,0,0,32,0
Adam Marušić,Lazio,Serie A,DF,31,2337,84,23,13,84.9,32,16,83,54
Andrea Colpani,Fiorentina,Serie A,"FW,MF",25,1450,57,37,17,80.7,15,9,46,33
Charalampos Lykogiannis,Bologna,Serie A,DF,30,1048,49,10,19,71.4,23,11,35,106
Enrico Del Prato,Parma,Serie A,DF,24,2947,81,8,14,84,33,19,120,16
Gianluca Mancini,Roma,Serie A,DF,28,3143,139,45,14,86,42,35,99,33
Luca Ranieri,Fiorentina,Serie A,DF,25,3071,80,25,16,85.4,42,28,95,9
Manuel Lazzari,Lazio,Serie A,DF,30,1406,66,72,20,79.1,26,10,50,97
Mattia Bani,Genoa,Serie A,DF,30,1507,25,6,2,87.4,19,22,60,4
Michel Ndary Adopo,Cagliari,Serie A,MF,24,2409,106,20,19,83,55,27,135,8
Pedro Pereira,Monza,Serie A,DF,26,2665,66,52,14,80.7,53,21,88,57
Riccardo Orsolini,Bologna,Serie A,FW,27,1878,69,61,30,65.8,16,8,65,70
Vanja Milinković-Savić,Torino,Serie A,GK,27,3330,0,0,3,68,1,0,51,0
Dušan Vlahović,Juventus,Serie A,FW,24,1784,22,27,15,69.1,4,1,36,9
Giacomo Raspadori,Napoli,Serie A,"FW,MF",24,1103,42,18,28,68.3,18,3,43,67
Giangiacomo Magnani,Hellas Verona,Serie A,DF,28,1065,31,4,1,80.7,20,17,38,2
Gianluca Gaetano,Cagliari,Serie A,"MF,FW",24,1009,41,11,22,72.3,11,6,34,24
Giovanni Di Lorenzo,Napoli,Serie A,DF,30,3330,224,50,37,83.6,66,31,94,63
Hans Nicolussi Caviglia,Venezia,Serie A,MF,24,2861,140,20,29,79.3,47,28,147,72
Ivan Provedel,Lazio,Serie A,GK,30,2610,4,0,3,77.4,0,1,44,0
Jens Odgaard,Bologna,Serie A,"MF,FW",25,1952,50,35,16,74.8,20,9,70,24
Lautaro Martínez,Inter,Serie A,FW,26,2564,68,34,36,74.4,30,10,73,13
Marco Brescianini,Atalanta,Serie A,MF,24,991,36,46,7,79.5,18,2,50,18
Nicolò Fagioli,Fiorentina,Serie A,MF,23,962,50,15,23,84.1,19,5,46,27
Nicolò Rovella,Lazio,Serie A,MF,22,2718,159,45,31,89.6,84,47,154,37
Roberto Piccoli,Cagliari,Serie A,FW,23,3127,37,30,13,66.3,13,3,54,8
Samuele Ricci,Torino,Serie A,MF,22,2825,116,43,15,88,35,25,130,30
Alexis Saelemaekers,Roma,Serie A,"DF,FW",25,1389,53,39,24,81.5,33,9,75,53
Amir Rrahmani,Napoli,Serie A,DF,30,3406,188,30,11,91,39,27,135,1
Andrea Carboni,Monza,Serie A,DF,23,2191,51,9,4,85.5,60,27,62,15
Antonino Gallo,Lecce,Serie A,DF,24,2609,107,57,44,66.2,65,20,116,116
Botond Balogh,Parma,Serie A,DF,22,2053,37,7,2,89.3,36,25,64,1
Daniel Maldini,Monza,Serie A,"MF,FW",22,1306,34,41,12,68.3,14,4,52,38
Filip Stankovic,Venezia,Serie A,GK,22,1367,0,0,0,72.5,0,0,15,0
Gabriel Strefezza,Como,Serie A,"FW,MF",27,2619,106,80,57,75.6,57,13,108,123
Giorgos Kyriakopoulos,Monza,Serie A,DF,28,2845,97,67,41,74.8,43,23,94,170
Liam Henderson,Empoli,Serie A,MF,28,2337,108,18,33,72.9,42,15,89,98
Lorenzo Colombo,Empoli,Serie A,"FW,MF",22,2233,48,27,21,67.5,31,2,73,10
Paweł Dawidowicz,Hellas Verona,Serie A,"DF,MF",29,1845,39,10,0,81.9,45,20,54,1
Razvan Sava,Udinese,Serie A,GK,22,1080,0,0,0,70.1,0,0,13,0
Sebastian Walukiewicz,Torino,Serie A,DF,24,1661,80,25,4,81.1,38,18,52,24
Sebastiano Esposito,Empoli,Serie A,"FW,MF",22,2331,93,31,36,60.2,57,12,106,55
Stefano Turati,Monza,Serie A,GK,22,2676,0,0,0,70.9,0,0,32,0
Tommaso Augello,Cagliari,Serie A,DF,29,2713,118,58,39,71.9,49,16,135,207
Alessandro Bianco,Monza,Serie A,MF,21,2600,125,35,18,86.2,51,22,122,23
Ardian Ismajli,Empoli,Serie A,DF,27,2508,38,3,2,86.8,30,56,83,0
Dennis Man,Parma,Serie A,"FW,MF",25,1995,60,67,45,79.6,13,8,72,33
Eldor Shomurodov,Roma,Serie A,"FW,MF",29,1097,21,19,17,75.2,14,3,36,6
Emmanuel Gyasi,Empoli,Serie A,"DF,FW",30,3217,53,22,17,77.1,52,11,135,37
Gabriele Zappa,Cagliari,Serie A,DF,24,3060,146,57,28,76.5,40,23,123,72
Hamza Rafia,Lecce,Serie A,MF,25,1058,51,13,16,77.6,44,4,62,45
Ivan Ilić,Torino,Serie A,MF,23,920,45,24,9,83.4,5,5,28,27
Lautaro Valenti,Parma,Serie A,DF,25,1556,28,3,4,84.5,17,13,48,2
Lorenzo Montipò,Hellas Verona,Serie A,GK,28,3240,1,0,0,48.7,1,0,28,0
Marco Carnesecchi,Atalanta,Serie A,GK,24,3060,0,0,1,75,0,0,57,0
Matteo Cancellieri,Parma,Serie A,"FW,MF",22,1424,24,40,11,67.4,26,13,55,21
Matteo Ruggeri,Atalanta,Serie A,DF,22,1751,114,60,24,84.2,39,22,124,82
Mërgim Vojvoda,Torino,Serie A,DF,29,1105,64,18,11,83.6,18,7,53,40
Nicolò Casale,Bologna,Serie A,DF,26,900,29,3,3,87.5,11,17,43,0
Răzvan Marin,Cagliari,Serie A,MF,28,1406,84,22,34,76.1,22,2,70,77
Simon Sohm,Parma,Serie A,MF,23,2989,140,69,20,85.2,28,26,127,15
Tommaso Pobega,Bologna,Serie A,MF,25,1178,42,12,12,82.1,33,14,45,8
Valentin Mihaila,Parma,Serie A,"FW,MF",24,1288,41,25,17,75.4,29,8,39,33
Adam Obert,Cagliari,Serie A,DF,21,1077,50,12,10,76.9,31,23,59,11
Albert Guðmundsson,Fiorentina,Serie A,"FW,MF",27,1273,37,35,15,83,9,6,53,24
Alessandro Zanoli,Genoa,Serie A,"FW,DF",23,1711,27,65,19,66.9,29,12,60,65
Andrea Cambiaso,Juventus,Serie A,"DF,FW",24,2221,111,78,34,88.5,46,16,116,66
Denzel Dumfries,Inter,Serie A,"DF,FW",28,1955,51,55,21,72.6,25,6,65,57
Diego Coppola,Hellas Verona,Serie A,DF,20,2927,48,4,3,81.1,66,72,89,0
Fabiano Parisi,Fiorentina,Serie A,"DF,MF",23,1124,40,25,4,80.5,27,17,64,14
Fabio Miretti,Genoa,Serie A,"MF,FW",20,1677,54,33,22,74.4,28,7,85,61
Gianluca Busio,Venezia,Serie A,MF,22,2518,95,60,28,75.9,46,19,107,29
Jacopo Fazzini,Empoli,Serie A,MF,21,1383,49,34,12,71.6,32,6,70,32
Johan Vásquez,Genoa,Serie A,DF,25,3041,96,37,7,84.7,56,50,122,7
Koni De Winter,Genoa,Serie A,DF,22,2135,56,10,3,86.6,33,25,114,4
Kristjan Asllani,Inter,Serie A,MF,22,988,55,7,15,89.2,14,9,49,43
Liberato Cacace,Empoli,Serie A,"MF,DF",23,2230,70,53,25,67.9,37,22,98,102
Matìas Soulé,Roma,Serie A,"MF,DF",21,1781,89,84,51,82.2,26,9,105,88
Michael Svoboda,Venezia,Serie A,DF,25,1314,43,13,5,84.8,26,22,71,2
Morten Frendrup,Genoa,Serie A,MF,23,3103,106,24,14,85.4,102,47,184,3
Nadir Zortea,Cagliari,Serie A,"DF,MF",25,2713,63,69,28,67.4,30,19,96,119
Ridgeciano Haps,Venezia,Serie A,DF,31,1369,52,26,7,77.7,30,7,54,26
Teun Koopmeiners,Juventus,Serie A,"MF,FW",26,1994,89,32,38,79.9,32,8,51,113
Youssef Maleh,Empoli,Serie A,MF,25,1510,72,10,12,71.1,45,16,96,16
Zito Luvumbo,Cagliari,Serie A,"FW,MF",22,1606,31,70,17,59.9,10,4,50,65
Éderson,Atalanta,Serie A,MF,25,2881,216,40,37,86.5,52,35,186,23
Carlos Augusto,Inter,Serie A,DF,25,1691,80,31,9,88.3,29,9,70,20
Charles De Ketelaere,Atalanta,Serie A,"MF,FW",23,2070,140,108,39,75.8,13,3,78,56
Dany Mota,Monza,Serie A,"FW,MF",26,2104,47,53,22,72.4,13,9,61,38
Devis Vásquez,Empoli,Serie A,GK,26,2880,0,0,0,60.4,0,0,43,0
Dodô,Fiorentina,Serie A,DF,25,3115,128,143,36,77.6,44,35,183,144
Emanuele Valeri,Parma,Serie A,DF,25,2873,93,79,36,65.6,51,29,124,129
Emil Holm,Bologna,Serie A,DF,24,1137,49,29,10,76.2,34,10,47,40
Federico Baschirotto,Lecce,Serie A,DF,27,3420,71,13,4,86.2,37,23,93,5
Federico Gatti,Juventus,Serie A,DF,26,2195,73,24,6,95,28,18,110,1
Gvidas Gineitis,Torino,Serie A,MF,20,1430,36,15,21,74.7,25,18,57,51
Isak Hien,Atalanta,Serie A,DF,25,2327,51,7,2,89.7,48,31,141,1
Jaka Bijol,Udinese,Serie A,DF,25,2963,98,22,12,83.6,43,38,101,3
Jhon Lucumí,Bologna,Serie A,DF,26,2614,108,34,8,91.1,53,26,176,4
Lewis Ferguson,Bologna,Serie A,MF,24,983,53,20,14,86.5,24,5,28,18
Michele Di Gregorio,Juventus,Serie A,GK,27,2970,0,0,1,76.6,0,1,36,0
Mikael Ellertsson,Venezia,Serie A,"DF,MF",22,2470,36,33,20,71,58,17,74,28
Mile Svilar,Roma,Serie A,GK,24,3420,2,0,0,78.9,0,0,53,0
Niccolò Pisilli,Roma,Serie A,MF,19,1227,63,22,10,83.5,24,11,58,10
Nikola Moro,Bologna,Serie A,MF,26,1208,93,17,20,80.2,35,13,73,33
Patrick Ciurria,Monza,Serie A,"MF,DF",29,1111,27,19,13,72.3,22,6,32,61
Samuele Birindelli,Monza,Serie A,"DF,MF",25,1468,35,40,18,75.7,22,10,47,64
Sandi Lovrić,Udinese,Serie A,MF,26,2308,120,60,32,78.7,46,22,118,90
Warren Bondo,Monza,Serie A,MF,20,1618,39,25,5,88.9,35,5,91,7
Þórir Jóhann Helgason,Lecce,Serie A,MF,23,1156,38,20,22,64.6,10,6,46,71
Alan Matturro,Genoa,Serie A,DF,19,900,15,12,3,78,11,14,26,8
Alberto Dossena,Como,Serie A,DF,25,1825,36,4,5,87.6,33,22,68,1
Antoine Makoumbou,Cagliari,Serie A,MF,26,2150,92,11,8,88.8,42,17,109,7
Gaetano Oristanio,Venezia,Serie A,"FW,MF",21,2315,64,72,33,69.3,17,6,84,59
Giovanni Fabbian,Bologna,Serie A,MF,21,1023,17,14,9,71.9,10,2,31,9
Gustav Isaksen,Lazio,Serie A,FW,23,2210,46,95,35,76.6,16,10,68,110
Jackson Tchatchoua,Hellas Verona,Serie A,"DF,MF",22,3167,72,88,34,74.3,50,14,121,118
Kenan Yıldız,Juventus,Serie A,"FW,MF",19,2402,121,115,57,79.7,54,5,123,115
Lorenzo Lucca,Udinese,Serie A,FW,23,2353,18,15,14,64,10,7,44,5
Luca Marianucci,Empoli,Serie A,DF,20,1069,28,12,3,76.8,28,19,43,7
Lucas Beltrán,Fiorentina,Serie A,"FW,MF",23,1953,64,23,29,77.7,23,5,59,7
Marcus Pedersen,Torino,Serie A,DF,24,1362,19,44,7,72.9,13,13,43,56
Martín Payero,Udinese,Serie A,MF,25,1381,51,33,15,77.8,24,13,75,39
Mateo Retegui,Atalanta,Serie A,FW,25,2383,46,21,38,76.5,14,4,69,15
Nikola Krstović,Lecce,Serie A,FW,24,3057,56,42,30,66.4,18,7,72,8
Pietro Comuzzo,Fiorentina,Serie A,DF,19,2200,75,14,7,85.7,43,29,86,3
Pontus Almqvist,Parma,Serie A,"FW,MF",25,1112,12,42,10,72.4,17,19,40,11
Saba Goglichidze,Empoli,Serie A,DF,20,2539,45,12,3,77.9,64,33,108,5
Sam Beukema,Bologna,Serie A,DF,25,3012,153,27,10,86.4,54,30,135,8
Santiago Castro,Bologna,Serie A,FW,19,2294,39,17,28,76.8,18,3,69,8
Santiago Pierotti,Lecce,Serie A,FW,23,1937,38,43,25,71.3,46,14,111,17
Thomas Kristensen,Udinese,Serie A,DF,22,1754,76,19,4,79.9,31,21,63,10
Tijjani Reijnders,Milan,Serie A,MF,26,3128,230,111,47,87.5,26,38,125,46
Tomáš Suslov,Hellas Verona,Serie A,"MF,FW",22,2080,82,39,27,73.2,54,18,88,49
Ylber Ramadani,Lecce,Serie A,MF,28,1807,60,9,16,82.1,51,24,117,6
Álex Jiménez,Milan,Serie A,"DF,FW",19,1266,37,55,12,80.1,24,15,69,37
Alieu Fadera,Como,Serie A,"FW,DF",22,1644,36,74,23,74.6,64,12,95,39
Ange-Yoan Bonny,Parma,Serie A,FW,20,2529,53,41,30,75.2,34,3,64,14
Antoine Hainaut,Parma,Serie A,"DF,FW",22,1206,34,22,9,75,26,15,58,26
Benjamín Domínguez,Bologna,Serie A,FW,20,1281,32,50,10,78.2,18,4,62,11
Casper Tengstedt,Hellas Verona,Serie A,FW,24,1517,29,29,12,67.4,7,4,37,10
Dailon Livramento,Hellas Verona,Serie A,"FW,MF",23,940,13,23,8,53.9,15,3,21,18
Daniel Mosquera,Hellas Verona,Serie A,FW,24,1375,25,17,12,68.7,11,2,54,2
Daniele Ghilardi,Hellas Verona,Serie A,DF,21,2029,57,16,6,78.4,44,30,55,10
David Neres,Napoli,Serie A,FW,27,1283,32,73,26,75.7,21,7,52,92
Fisayo Dele-Bashiru,Lazio,Serie A,"MF,FW",23,947,26,23,10,87.7,10,4,48,7
Francisco Conceição,Juventus,Serie A,"FW,MF",21,1340,35,95,28,78.3,23,6,55,62
Gaby Jean,Lecce,Serie A,DF,24,1388,42,8,1,84.3,14,9,55,1
Giovanni Leoni,Parma,Serie A,DF,17,1199,21,0,1,87.7,14,15,34,3
Ignace Van Der Brempt,Como,Serie A,DF,22,1257,42,19,10,81.1,40,17,59,20
Issa Doumbia,Venezia,Serie A,MF,20,939,22,12,3,74.9,14,9,45,10
Jay Idzes,Venezia,Serie A,DF,24,3127,84,15,8,86,45,32,113,6
Jesper Karlström,Udinese,Serie A,MF,29,3186,135,23,21,83.2,61,35,146,15
Joël Schingtienne,Venezia,Serie A,DF,21,1122,28,5,3,86.2,27,14,49,0
Kialonda,Lecce,Serie A,DF,26,2144,34,4,6,86.5,34,32,58,3
Mandela Keita,Parma,Serie A,MF,22,1826,50,13,15,90.5,44,21,94,0
Marin Šverko,Venezia,Serie A,DF,26,1117,38,8,2,82.2,20,16,44,2
Mattia Felici,Cagliari,Serie A,"MF,FW",23,925,19,39,10,67.9,17,7,51,25
Nicolás Valentini,Hellas Verona,Serie A,DF,23,1129,42,4,6,67.5,35,15,43,5
Nicolò Savona,Juventus,Serie A,DF,21,1724,59,35,16,89.5,29,11,72,34
Patrizio Masini,Genoa,Serie A,MF,23,1538,44,16,6,76.9,54,15,87,26
Zion Suzuki,Parma,Serie A,GK,21,3314,0,0,0,67.4,1,0,44,0
