Player,Squad,League,Pos,Age,Min,PrgP,PrgC,KP,Cmp%,Tkl,Int,Recov,Crs
Florent Hanin,Angers,Ligue 1,DF,34,2672,99,48,25,77.5,69,47,132,107
Gabriel Osho,Auxerre,Ligue 1,DF,25,1654,43,12,1,88.8,23,12,52,3
Hamed Junior Traorè,Auxerre,Ligue 1,MF,24,2093,99,66,27,74.1,41,8,100,42
Hans Hateboer,Rennes,Ligue 1,DF,30,1684,92,28,15,85.3,31,29,62,33
Jaydee Canvot,Toulouse,Ligue 1,"DF,MF",18,1106,41,9,4,86.2,23,11,50,6
Jordan James,Rennes,Ligue 1,MF,20,1178,67,21,24,84.1,30,14,54,34
João Neves,Paris S-G,Ligue 1,"MF,DF",19,1844,144,35,33,91.2,63,23,123,15
Khvicha Kvaratskhelia,Napoli,Serie A,"FW,MF",23,1178,57,74,28,76.4,15,4,45,51
Khvicha Kvaratskhelia,Paris S-G,Ligue 1,FW,23,916,43,50,25,85.6,19,2,27,33
Ki-Jana Hoever,Auxerre,Ligue 1,DF,22,2124,79,59,24,70.8,51,21,91,78
Lucas Stassin,Saint-Étienne,Ligue 1,FW,19,1887,35,26,18,74,16,3,34,19
M'Bala Nzola,Lens,Ligue 1,FW,27,1460,22,26,20,75.2,5,5,36,1
Mark Mckenzie,Toulouse,Ligue 1,DF,25,2496,97,10,4,86.1,52,22,128,1
Matias Fernandez-Pardo,Lille,Ligue 1,"FW,MF",19,1065,26,46,16,73,12,3,35,30
Mika Biereth,Monaco,Ligue 1,FW,21,1228,24,14,22,61.8,5,4,23,8
Mory Gbane,Reims,Ligue 1,"DF,MF",23,1125,35,3,7,85.3,20,18,49,2
Moïse Bombito,Nice,Ligue 1,DF,24,2192,97,27,2,90.2,37,18,97,2
Ngal'Ayel Mukau,Lille,Ligue 1,MF,19,1190,57,19,12,89.1,33,15,63,5
Osame Sahraoui,Lille,Ligue 1,"FW,MF",23,1293,89,69,29,83.9,13,7,58,12
Pierre Ekwah Elimby,Saint-Étienne,Ligue 1,MF,22,2575,146,20,16,88.2,54,47,154,5
Sebastian Nanasi,Strasbourg,Ligue 1,"MF,FW",22,2107,126,53,37,79.2,20,7,71,66
Sorba Thomas,Nantes,Ligue 1,"FW,MF",24,1321,34,41,36,65.5,14,9,66,130
Tanner Tessmann,Lyon,Ligue 1,MF,22,1234,56,11,7,89.4,25,19,63,14
Theo Bair,Auxerre,Ligue 1,FW,24,939,16,15,10,62,4,3,15,7
Thiago Almada,Lyon,Ligue 1,"MF,FW",23,951,97,38,22,84.9,14,7,56,47
Yael Mouanga,Montpellier,Ligue 1,DF,19,946,22,4,2,87.7,14,10,29,2
Yanis Zouaoui,Le Havre,Ligue 1,"DF,FW",30,976,32,33,28,68.6,20,8,41,110
Zuriko Davitashvili,Saint-Étienne,Ligue 1,"FW,MF",23,2778,73,95,50,78.6,22,14,117,85
Đorđe Petrović,Strasbourg,Ligue 1,GK,24,2790,1,1,0,80.4,1,0,58,0
Ashley Young,Everton,Premier League,DF,39,1875,90,24,26,70.9,58,25,75,75
Łukasz Fabiański,West Ham,Premier League,GK,39,1160,0,0,0,67.1,0,0,5,0
Chris Wood,Nott'ham Forest,Premier League,FW,32,2959,42,14,22,64.3,6,5,50,1
Danny Welbeck,Brighton,Premier League,FW,33,2115,47,21,23,84.9,26,5,46,3
Kyle Walker,Manchester City,Premier League,DF,34,970,64,12,7,87.7,17,3,46,14
Adam Smith,Bournemouth,Premier League,DF,33,1590,49,15,8,75.7,24,15,50,33
Craig Dawson,Wolves,Premier League,DF,34,971,20,6,2,86.6,15,9,35,0
Romelu Lukaku,Napoli,Serie A,FW,31,2843,36,31,35,71,4,1,34,4
Ben Davies,Tottenham,Premier League,DF,31,1331,52,14,2,87.6,17,12,41,4
Conor Coady,Leicester City,Premier League,DF,31,1714,32,3,1,91.1,13,13,62,0
James Ward-Prowse,West Ham,Premier League,MF,29,1039,54,11,20,88.2,20,8,52,49
Adam Armstrong,Southampton,Premier League,"FW,MF",27,1248,21,25,9,80.2,12,3,23,14
Christian Eriksen,Manchester Utd,Premier League,MF,32,1061,55,13,31,78.8,19,7,62,85
Dan Burn,Newcastle Utd,Premier League,DF,32,3330,75,12,9,88.4,39,27,103,3
Mohamed Salah,Liverpool,Premier League,FW,32,3371,144,155,88,70.6,21,9,101,79
Alex Palmer,Ipswich Town,Premier League,GK,27,1170,1,0,1,70.7,0,0,17,0
Andrew Robertson,Liverpool,Premier League,DF,30,2482,176,64,40,82.7,39,21,105,147
Dominic Solanke,Tottenham,Premier League,FW,26,2201,47,31,14,70.6,18,1,38,4
Harry Maguire,Manchester Utd,Premier League,DF,31,1758,51,7,9,85.5,30,40,68,4
Harry Winks,Leicester City,Premier League,MF,28,1538,101,19,17,87.1,24,9,106,34
Jack Stephens,Southampton,Premier League,DF,30,1389,63,14,3,92,34,13,44,1
Jamie Vardy,Leicester City,Premier League,FW,37,2823,22,29,19,66.3,19,5,39,11
Jordan Pickford,Everton,Premier League,GK,30,3420,0,0,2,66.3,1,1,36,0
Michael Keane,Everton,Premier League,DF,31,1049,14,1,2,82.8,12,16,26,1
Ruben Loftus-Cheek,Milan,Serie A,MF,28,1037,51,27,16,89.7,19,3,48,7
Alex Iwobi,Fulham,Premier League,"FW,MF",28,2981,213,144,59,75.1,44,14,140,126
Axel Tuanzebe,Ipswich Town,Premier League,DF,26,1710,61,10,5,83.8,31,23,49,10
Fikayo Tomori,Milan,Serie A,DF,26,1593,63,8,8,92.4,40,20,60,6
Keinan Davis,Udinese,Serie A,FW,26,1066,22,26,20,75.6,9,1,34,3
Kyle Walker-Peters,Southampton,Premier League,DF,27,2918,139,114,24,88.2,44,19,135,51
Marcus Rashford,Manchester Utd,Premier League,"FW,MF",26,978,21,20,15,73.8,7,4,24,27
Matteo Darmian,Inter,Serie A,DF,34,1781,45,14,15,83.8,28,10,39,32
Ola Aina,Nott'ham Forest,Premier League,DF,27,2995,107,67,16,73.5,55,33,190,59
Tammy Abraham,Milan,Serie A,FW,26,1183,26,8,14,68.8,17,2,12,3
Tyrone Mings,Aston Villa,Premier League,DF,31,1120,40,7,3,88.2,7,7,38,1
Virgil Van Dijk,Liverpool,Premier League,DF,33,3330,198,22,12,91.6,38,56,115,1
Aaron Ramsdale,Southampton,Premier League,GK,26,2700,0,0,0,63.3,0,2,23,0
Aaron Wan-Bissaka,West Ham,Premier League,DF,26,3154,149,110,33,81.1,70,66,174,76
Christian Kabasele,Udinese,Serie A,DF,33,1161,44,9,6,85.3,17,14,33,2
Declan Rice,Arsenal,Premier League,MF,25,2825,192,90,59,83.4,53,25,156,164
Dominic Calvert-Lewin,Everton,Premier League,FW,27,1609,20,23,7,62.6,9,7,35,6
Harry Wilson,Fulham,Premier League,"FW,MF",27,1162,51,22,20,73.3,20,7,55,41
James Tarkowski,Everton,Premier League,DF,31,2922,75,9,16,81,64,41,98,1
Jarrod Bowen,West Ham,Premier League,"FW,MF",27,2973,91,109,51,71.7,41,16,129,106
Lewis Cook,Bournemouth,Premier League,"MF,DF",27,2978,158,33,48,77.2,81,41,187,132
Marten De Roon,Atalanta,Serie A,"MF,DF",33,3058,242,37,25,86.4,74,47,140,28
Nick Pope,Newcastle Utd,Premier League,GK,32,2520,1,0,1,73.5,0,1,24,0
