"Squad","estimated_possession_proxy","padj_multiplier"
"Augsburg",55.908297855111,1.28711102872824
"Bayern Munich",52.4506416475989,1.12192250624528
"Bochum",60.2049774932854,1.47013908732281
"Darmstadt 98",49.2961191761009,0.964820482296835
"Dortmund",54.5458077161083,1.2234555996802
"Eint Frankfurt",57.6304744286591,1.36403000129504
"Freiburg",53.4829516230885,1.17240819852069
"Gladbach",53.5507807164667,1.17569690803522
"Heidenheim",60.9058856972638,1.4969850738419
"Hoffenheim",54.0869850687588,1.20155152838576
"Holstein Kiel",47.6065806255158,0.880897052541697
"Köln",65,1.63514895238729
"Leverkusen",45.2903100494354,0.768773842264032
"Mainz 05",57.2031271992778,1.34535175282089
"RB Leipzig",63.6541220521949,1.59327582990726
"St Pauli",56.366312218201,1.30798309441547
"Stuttgart",52.7557338140257,1.13692129397637
"Union Berlin",59.562811216817,1.44475321249754
"Werder Bremen",54.8739265390465,1.23898403234418
"Wolfsburg",57.3135073641499,1.3502032247509
"Alavés",44.7233003387887,0.742120990405867
"Almería",49.5308893197284,0.97654876648846
"Athletic Club",49.7058615439474,0.985294137443295
"Atlético Madrid",50.6934097653023,1.03465660313819
"Barcelona",44.9600371012476,0.753203972933694
"Betis",51.2638455522005,1.06310829726839
"Celta Vigo",47.9664585656311,0.898671872247565
"Cádiz",53.5195079057596,1.17418112095848
"Espanyol",46.8958238241146,0.846025612852359
"Getafe",47.5943434118843,0.880293915445743
"Girona",40.3470931951425,0.55164032787385
"Granada",49.2593904755677,0.962986440589189
"Las Palmas",51.2663047246138,1.06323076523608
"Leganés",46.8860532640288,0.845548702836152
"Mallorca",40.2272057487303,0.546863877179616
"Osasuna",48.3368806667147,0.917035176798145
"Rayo Vallecano",51.7791737047213,1.08872476311476
"Real Madrid",45.7904085851232,0.792574517594377
"Real Sociedad",49.8018675524909,0.990093701694315
"Sevilla",46.3747108567725,0.820695050478459
"Valencia",46.722445454336,0.837573711298087
"Valladolid",48.6044724586726,0.930336643908444
"Villarreal",46.3846793582683,0.821177494131129
"Angers",46.8297973268996,0.842804205378057
"Auxerre",50.4222427030777,1.02110899899689
"Brest",50.7216457878015,1.03606663864949
"Clermont Foot",47.3489879269996,0.868220269005264
"Le Havre",44.2680144923915,0.720998208030729
"Lens",52.7892955860594,1.13856754291402
"Lille",43.9083629107986,0.704499981629259
"Lorient",48.9205962711597,0.946082153688348
"Lyon",43.1312184128781,0.669455803657891
"Marseille",44.1906134514993,0.71743327561571
"Metz",53.7203748289513,1.18390242847146
"Monaco",56.9888508786222,1.3358810709195
"Montpellier",47.8352609942264,0.892183752225619
"Nantes",48.9809087179497,0.949089489073238
"Nice",52.8652354605567,1.14228965445974
"Paris S-G",46.4233383370109,0.82304927687511
"Reims",48.0266187828725,0.901649897399207
"Rennes",48.6149533255604,0.930858163070457
"Saint-Étienne",50.3326181512475,1.0166293744339
"Strasbourg",51.7603346577471,1.08779014806011
"Toulouse",48.7608592055531,0.938122116379821
"Arsenal",44.5026870645132,0.731853506372784
"Aston Villa",42.059120511281,0.622583164424551
"Bournemouth",55.9734709745545,1.29009825933588
"Brentford",51.1557842081538,1.05772496541608
"Brighton",51.1941051793327,1.05963441584314
"Burnley",51.5330920349944,1.07650481482195
"Chelsea",44.9903988818818,0.754630131001595
"Crystal Palace",55.994995941782,1.29108362583444
"Everton",46.6119399218961,0.832199082332483
"Fulham",49.2435777075675,0.962196908636265
"Ipswich Town",42.5226982067984,0.642632168810544
"Leicester City",51.1580602447988,1.05783838729551
"Liverpool",53.1176943836457,1.154634204207
"Luton Town",51.6148950026265,1.08056972897494
"Manchester City",43.7763532889529,0.698487670245319
"Manchester Utd",50.5857290519287,1.02927808250729
"Newcastle Utd",51.340287980404,1.06691425991899
"Nott'ham Forest",49.4014778657276,0.970082823746963
"Sheffield Utd",55.5629194189751,1.27118826767737
"Southampton",39.3879919426832,0.514160092089355
"Tottenham",50.2756247983609,1.01378036752813
"West Ham",48.3751268376867,0.918934621657219
"Wolves",52.6623593899809,1.13233720228613
"Atalanta",52.0701529523836,1.10313957039168
"Bologna",50.9361806800889,1.04677487640656
"Cagliari",40.0690402440074,0.540601996795495
"Como",43.454044449978,0.683909376052766
"Empoli",47.5695106977302,0.8790702543181
"Fiorentina",45.0621038720797,0.758002477888911
"Frosinone",49.3854083806052,0.96928008809902
"Genoa",49.7736846045791,0.988684713186338
"Hellas Verona",46.3165776805615,0.817883314852801
"Inter",40.4912153821819,0.557416381074052
"Juventus",43.470460765247,0.684648372987312
"Lazio",44.714770051927,0.741722883753554
"Lecce",48.2692117153732,0.913675973819032
"Milan",35.8263702870095,0.390150638784164
"Monza",38.4359714548621,0.478643039099137
"Napoli",40.2772394326301,0.54885413670354
"Parma",47.3202602501418,0.8668090973429
"Roma",38.8264913565029,0.493006003155632
"Salernitana",41.8777717068792,0.614834053249321
"Sassuolo",43.6626401630044,0.693327796319831
"Torino",35,0.364851047612713
"Udinese",47.4613109716214,0.873742920936103
"Venezia",49.1146152010884,0.955759656513789
