"Player","Squad","League","Age","progressive_passes_per90","progressive_carries_per90","key_passes_per90","tackles_per90","interceptions_per90","recoveries_per90","crosses_per90","pass_completion","progression_score","defending_score","xT_proxy","age_score","scouting_score","role_profile"
"Reinildo Mandava","Atlético Madrid","La Liga",30,3.25185972369819,1.33900106269926,0.191285866099894,1.72157279489904,1.53028692879915,4.97343251859724,0.765143464399575,84.2,1.39123773518522,8.22529224229543,2.48671625929862,0.25,3.15828276676272,"Defensive Stopper"
"Renan Lodi","Marseille","Ligue 1",25,3.7165991902834,1.82186234817814,1.02024291497976,1.74898785425101,1.16599190283401,4.95546558704453,5.10121457489879,77.4,1.99931771221379,7.87044534412955,2.9587044534413,0.5,3.33826068812438,"Balanced Defender"
"Renato Tapia","Leganés","La Liga",29,3.59394554825714,0.618511037715589,0.384116945725986,2.51238086598488,1.20804390648489,6.64710875537816,0.525689255537371,77,1.28136311874672,10.3675335278479,2.40377174404052,0.375,3.77480530585307,"Defensive Stopper"
"Renato Veiga","Juventus","Serie A",21,3.29368709972553,0.741079597438243,0.164684354986276,1.39981701738335,1.56450137236962,3.12900274473925,0,88,1.16898954018474,6.09332113449222,2.27264409881061,1,2.58359215642156,"Possession Defender"
"Ricard Sánchez","Granada","La Liga",23,3.29411764705882,1.92156862745098,0.862745098039216,1.13725490196078,0.509803921568627,3.80392156862745,3.2156862745098,75.2,1.87081158351077,5.45098039215686,2.74509803921569,0.75,2.60881875105137,"Balanced Defender"
"Ricardo Rodríguez","Torino","Serie A",31,4.28696303696304,1.66137433994577,0.571928071928072,1.71953046953047,0.672184957899244,3.76088197516769,1.45515199086628,82.75,1.91529681208176,6.1525974025974,3.23672755815613,0.25,2.74464794561192,"Balanced Defender"
"Riccardo Calafiori","Bologna","Serie A",22,4.31110487482607,1.54351952541871,0.600339877534952,2.13639534929043,1.36985847530626,5.31871314258096,0.675974322096327,87.6,1.88812239192117,8.82496696717765,3.20407073506312,0.875,3.66533904692176,"Defensive Stopper"
"Riccardo Marchizza","Frosinone","Serie A",25,2.82229965156794,0.470383275261324,0.862369337979094,0.548780487804878,0.548780487804878,3.37108013937282,1.72473867595819,75.8,1.21081300424535,4.46864111498258,1.8815331010453,0.5,2.00071753619291,"Balanced Defender"
"Rick Karsdorp","Roma","Serie A",28,2.49370277078086,0.906801007556675,0.755667506297229,1.88916876574307,0.680100755667506,3.77833753148615,2.11586901763224,79.5,1.25052632547503,6.34760705289673,1.85894206549118,0.5,2.58399264605903,"Balanced Defender"
"Rico Lewis","Manchester City","Premier League",19,5.08716323296355,1.85419968304279,0.332805071315372,1.42630744849445,0.618066561014263,4.51664025356577,0.285261489698891,91.5,2.09938614498937,6.56101426307448,3.79397781299525,1,3.0995587369181,"Ball Progressor"
"Ridgeciano Haps","Venezia","Serie A",31,3.41855368882396,1.70927684441198,0.460189919649379,1.97224251278305,0.460189919649379,3.5500365230095,1.70927684441198,77.7,1.67213038683123,5.98246895544193,2.73484295105917,0.25,2.59129284136507,"Balanced Defender"
"Ridle Baku","Wolfsburg","Bundesliga",26,3.34720785482598,1.56830016656439,1.14240378714824,1.67418251950557,0.787095643026212,4.36021741036206,2.40715350223547,75.25,1.85743165903571,6.82149557289384,2.63564477952135,0.5,2.96467133548243,"Balanced Defender"
"Ritsu Doan","Freiburg","Bundesliga",25,3.12555654496883,1.96349065004452,1.24220837043633,2.00356188780053,0.360641139804096,3.88691006233304,2.44434550311665,70.7,1.98620815322688,6.25111308993767,2.66073018699911,0.5,2.84051718827205,"Balanced Defender"
"Robert Andrich","Leverkusen","Bundesliga",29,4.41325325295673,0.757825980700728,0.839240618820863,1.47466137405485,1.3491901859573,5.30421532833201,0.710703468092512,89.25,1.71068499837995,8.12806688834416,2.95108234405433,0.375,3.28694406585523,"Defensive Stopper"
"Robert Skov","Hoffenheim","Bundesliga",27,5.07142857142857,2,1.64285714285714,1.71428571428571,0.714285714285714,5.07142857142857,5,73.6,2.64104039600903,7.5,3.84285714285714,0.5,3.48001615840361,"Elite Progressive CB"
"Roberto Gagliardini","Monza","Serie A",29,4.57627118644068,1.44915254237288,0.76271186440678,2.32627118644068,1.18220338983051,5.33898305084746,0.305084745762712,90,1.98075284689204,8.84745762711864,3.32542372881356,0.25,3.58653842689241,"Defensive Stopper"
"Robin Gosens","Union Berlin","Bundesliga",30,3.73266401908593,0.967280885242022,1.13241152766173,2.24139045421873,1.03089371226507,3.20274477568451,2.40390183692202,74.5,1.72696119379042,6.47502894216831,2.62651076554837,0.25,2.75779316016666,"Balanced Defender"
"Robin Knoche","Union Berlin","Bundesliga",31,3.33333333333333,0.0938967136150235,0.140845070422535,1.5962441314554,0.610328638497653,7.13615023474178,0.140845070422535,80.7,0.928868744369364,9.34272300469484,2.03755868544601,0.25,3.3050643991562,"Defensive Stopper"
"Robin Koch","Eint Frankfurt","Bundesliga",28,3.52483056204759,0.38670748882701,0.187551161872351,1.04217687305415,0.96096613952637,4.21703480617383,0.0831428092041374,89.35,1.10382339213404,6.22017781875435,2.26958133275936,0.5,2.49693270247992,"Possession Defender"
"Robin Le Normand","Real Sociedad","La Liga",27,3.08258387265693,0.612871574045359,0.117439513566552,1.1298596318195,0.719533088964245,3.73856744129295,0.0391465045221839,89.45,1.05022804440535,5.5879601620767,2.0946989532123,0.5,2.28592926638515,"Possession Defender"
"Rodrigo Riquelme","Atlético Madrid","La Liga",23,3.1217277486911,5.12434554973822,1.64921465968586,1.76701570680628,0.530104712041885,5.77225130890052,3.82853403141361,74.4,3.31582399249303,8.06937172774869,3.92277486910995,0.75,3.97154111532182,"Elite Progressive CB"
"Rogério","Wolfsburg","Bundesliga",25,5.66225165562914,2.68211920529801,0.596026490066225,1.39072847682119,0.496688741721854,5.4635761589404,2.68211920529801,82.4,2.65174170539118,7.35099337748344,4.47019867549669,0.5,3.44839469540151,"Ball Progressor"
