"Player","Squad","League","Pos","Age","Min","PrgP","PrgC","KP","Cmp.","Tkl","Int","Recov","Crs","PrgP_90","PrgC_90","KP_90","Tkl_90","Int_90","Recov_90","Defensive_Intensity","Ball_Progression","Creative_Involvement","Passing_Security","Modern_CB_Score","Cluster","Cluster_Label"
"Javi Rodríguez","Celta Vigo","La Liga","DF",21,2514,114,29,13,86.7,53,33,87,4,4.08114558472554,1.0381861575179,0.465393794749403,1.89737470167064,1.18138424821002,3.1145584725537,1.98687350835322,3.16825775656325,0.465393794749403,86.7,10.7025178997613,"1","Progressive distributors"
"Jon Martin","Real Sociedad","La Liga","DF",18,904,34,4,4,86.8,11,7,22,0,3.38495575221239,0.398230088495575,0.398230088495575,1.09513274336283,0.696902654867257,2.19026548672566,1.24944690265487,2.48893805309735,0.398230088495575,86.8,10.1726161504425,"2","Balanced centre-backs"
"Juan Herzog","Las Palmas","La Liga","DF",21,1315,27,0,0,86.4,12,18,41,0,1.84790874524715,0,0,0.821292775665399,1.2319391634981,2.80608365019011,1.44068441064639,1.293536121673,0,86.4,9.66165399239544,"2","Balanced centre-backs"
"Matteo Gabbia","Milan","Serie A","DF",24,2152,74,13,2,91.2,21,15,69,2,3.09479553903346,0.54368029739777,0.0836431226765799,0.878252788104089,0.627323420074349,2.88568773234201,1.30483271375465,2.32946096654275,0.0836431226765799,91.2,10.5210223048327,"2","Balanced centre-backs"
"Pau Cubarsí","Barcelona","La Liga","DF",17,2618,191,26,9,93.5,34,16,102,2,6.56608097784568,0.893812070282659,0.309396485867074,1.16883116883117,0.550038197097021,3.50649350649351,1.56760886172651,4.86440030557678,0.309396485867074,93.5,11.890832696715,"1","Progressive distributors"
"Saúl Coco","Torino","Serie A","DF",25,2845,70,17,1,88.3,46,38,87,2,2.21441124780316,0.537785588752197,0.031634446397188,1.45518453427065,1.20210896309315,2.75219683655536,1.70351493848858,1.71142355008787,0.031634446397188,88.3,10.1155448154657,"2","Balanced centre-backs"
"Yarek Gasiorowski","Valencia","La Liga","DF",19,947,38,9,3,80.3,19,26,40,3,3.61140443505808,0.855332629355861,0.285110876451954,1.80570221752904,2.47096092925026,3.80147835269271,2.50422386483633,2.78458289334741,0.285110876451954,80.3,10.0630781414995,"1","Progressive distributors"
"Enzo Boyomo","Osasuna","La Liga","DF",22,2987,111,16,4,87,68,44,121,2,3.34449280214262,0.482089052561098,0.120522263140275,2.04887847338467,1.32574489454302,3.6457984599933,2.23116839638433,2.48577167726816,0.120522263140275,87,10.4932959491128,"2","Balanced centre-backs"
"Ladislav Krejčí","Girona","La Liga","DF",25,2440,144,29,8,90.1,23,34,101,11,5.31147540983607,1.06967213114754,0.295081967213115,0.848360655737705,1.25409836065574,3.72540983606557,1.68934426229508,4.03893442622951,0.295081967213115,90.1,11.261106557377,"1","Progressive distributors"
"Logan Costa","Villarreal","La Liga","DF",23,2587,116,25,4,87.7,38,21,104,5,4.03556242752223,0.869733281793583,0.139157325086973,1.32199458832625,0.73057595670661,3.61809045226131,1.71859296482412,3.08581368380363,0.139157325086973,87.7,10.6267066099729,"2","Balanced centre-backs"
"Marash Kumbulla","Espanyol","La Liga","DF",24,2972,71,11,1,84.5,51,34,74,6,2.15006729475101,0.333109017496635,0.0302826379542396,1.54441453566622,1.02960969044415,2.24091520861373,1.56409825033647,1.6049798115747,0.0302826379542396,84.5,9.64396870794078,"2","Balanced centre-backs"
"Natan","Betis","La Liga","DF",23,2175,52,12,5,88.7,35,28,75,2,2.15172413793103,0.496551724137931,0.206896551724138,1.44827586206897,1.15862068965517,3.10344827586207,1.7751724137931,1.6551724137931,0.206896551724138,88.7,10.1844137931034,"2","Balanced centre-backs"
"Nayef Aguerd","Real Sociedad","La Liga","DF",28,1760,75,26,5,87.3,30,13,73,2,3.83522727272727,1.32954545454545,0.255681818181818,1.53409090909091,0.664772727272727,3.73295454545455,1.82301136363636,3.08352272727273,0.255681818181818,87.3,10.6398153409091,"1","Progressive distributors"
"Pau Navarro","Villarreal","La Liga","DF",19,916,40,3,1,89.6,23,4,46,2,3.93013100436681,0.294759825327511,0.0982532751091703,2.25982532751092,0.393013100436681,4.51965065502183,2.26473799126637,2.83951965065502,0.0982532751091703,89.6,10.9032041484716,"2","Balanced centre-backs"
"Raúl Asencio","Real Madrid","La Liga","DF",21,1670,27,5,6,93.8,22,16,75,0,1.45508982035928,0.269461077844311,0.323353293413174,1.18562874251497,0.862275449101796,4.04191616766467,1.80269461077844,1.09940119760479,0.323353293413174,93.8,10.4992065868263,"2","Balanced centre-backs"
"Santiago Mouriño","Alavés","La Liga","DF",22,1849,46,14,7,78,43,29,85,4,2.23904813412655,0.681449432125473,0.340724716062737,2.09302325581395,1.41157382368848,4.13737155219037,2.39967550027042,1.77176852352623,0.340724716062737,78,9.39970254191455,"2","Balanced centre-backs"
"Scott Mckenna","Las Palmas","La Liga","DF",27,2466,45,11,4,86.7,21,9,69,2,1.64233576642336,0.401459854014599,0.145985401459854,0.766423357664234,0.328467153284672,2.51824817518248,1.07299270072993,1.27007299270073,0.145985401459854,86.7,9.57547445255474,"2","Balanced centre-backs"
"Willy Kambwala","Villarreal","La Liga","DF",19,1117,16,2,1,87.7,17,10,30,0,1.28916741271262,0.161145926589078,0.0805729632945389,1.36974037600716,0.805729632945389,2.41718889883617,1.46239928379588,0.95076096687556,0.0805729632945389,87.7,9.67423008057296,"2","Balanced centre-backs"
"Issa Diop","Fulham","Premier League","DF",27,1339,25,6,3,87.5,26,9,45,1,1.68035847647498,0.403286034353996,0.201643017176998,1.74757281553398,0.604929051530993,3.02464525765497,1.72404779686333,1.29723674383869,0.201643017176998,87.5,9.90255787901419,"2","Balanced centre-backs"
"Gabriel Magalhães","Arsenal","Premier League","DF",26,2363,126,10,13,90.2,25,16,63,9,4.79898434193821,0.3808717731697,0.495133305120609,0.952179432924249,0.609394837071519,2.39949217096911,1.21117223867964,3.47355057130766,0.495133305120609,90.2,10.907600507829,"1","Progressive distributors"
"Malang Sarr","Lens","Ligue 1","DF",25,1385,54,4,5,89.4,21,22,69,1,3.50902527075812,0.259927797833935,0.324909747292419,1.36462093862816,1.42960288808664,4.48375451263538,2.16389891696751,2.53429602888087,0.324909747292419,89.4,10.7598194945848,"1","Progressive distributors"
"Mickael Nade","Saint-Étienne","Ligue 1","DF",25,2306,72,17,7,90,59,33,113,1,2.8100607111882,0.663486556808326,0.273200346921075,2.30268863833478,1.28794449262793,4.41023417172593,2.52515177797051,2.16608846487424,0.273200346921075,90,10.7912185602775,"1","Progressive distributors"
"Oumar Solet","Udinese","Serie A","DF",24,1672,65,20,17,88.5,33,17,92,9,3.4988038277512,1.07655502392344,0.915071770334928,1.77631578947368,0.915071770334928,4.95215311004785,2.3119019138756,2.77212918660287,0.915071770334928,88.5,10.9052781100478,"1","Progressive distributors"
"Bafodé Diakité","Lille","Ligue 1","DF",23,2766,90,15,3,93.2,31,27,139,4,2.92841648590022,0.488069414316703,0.0976138828633406,1.00867678958785,0.878524945770065,4.52277657266811,1.84815618221258,2.19631236442516,0.0976138828633406,93.2,10.860021691974,"2","Balanced centre-backs"
"Duje Ćaleta-Car","Lyon","Ligue 1","DF",27,1584,46,4,2,91,20,17,65,1,2.61363636363636,0.227272727272727,0.113636363636364,1.13636363636364,0.965909090909091,3.69318181818182,1.72443181818182,1.89772727272727,0.113636363636364,91,10.4796875,"2","Balanced centre-backs"
"Wesley Fofana","Chelsea","Premier League","DF",23,1172,32,19,6,90.2,13,14,54,1,2.45733788395904,1.45904436860068,0.460750853242321,0.998293515358362,1.07508532423208,4.14675767918089,1.80844709897611,2.15784982935154,0.460750853242321,90.2,10.5852090443686,"1","Progressive distributors"
"William Saliba","Arsenal","Premier League","DF",23,3039,138,16,7,94.3,62,21,154,3,4.08687068114511,0.473840078973347,0.207305034550839,1.83613030602172,0.621915103652517,4.56071076011846,2.15301085883514,3.00296150049358,0.207305034550839,94.3,11.4158341559724,"1","Progressive distributors"
"Joachim Andersen","Fulham","Premier League","DF",28,2583,112,16,4,82.7,27,34,122,12,3.90243902439024,0.557491289198606,0.139372822299652,0.940766550522648,1.18466898954704,4.25087108013937,1.84146341463415,2.89895470383275,0.139372822299652,82.7,10.095,"2","Balanced centre-backs"
"Abdoulaye Niakhate Ndiaye","Brest","Ligue 1","DF",22,1707,39,5,1,86.4,49,11,72,2,2.05623901581722,0.263620386643234,0.0527240773286467,2.58347978910369,0.579964850615114,3.79613356766257,2.28558875219684,1.51845342706503,0.0527240773286467,86.4,10.0552460456942,"2","Balanced centre-backs"
"Flavius Daniliuc","Hellas Verona","Serie A","DF",23,1004,38,8,2,83.5,26,7,44,6,3.40637450199203,0.717131474103586,0.179282868525896,2.33067729083665,0.627490039840637,3.94422310756972,2.22310756972112,2.5996015936255,0.179282868525896,83.5,10.1948207171315,"2","Balanced centre-backs"
"Lilian Brassier","Rennes","Ligue 1","DF",24,1234,75,21,6,85.6,15,22,59,9,5.47001620745543,1.53160453808752,0.437601296596434,1.09400324149109,1.60453808752026,4.3030794165316,2.04943273905997,4.28849270664506,0.437601296596434,85.6,11.0583387358185,"1","Progressive distributors"
"Saidou Sow","Strasbourg","Ligue 1","DF",22,1018,16,0,2,90.7,9,15,36,0,1.41453831041257,0,0.176817288801572,0.795677799607073,1.32612966601179,3.18271119842829,1.55157170923379,0.990176817288801,0.176817288801572,90.7,10.0356434184676,"2","Balanced centre-backs"
"Sinaly Diomande","Auxerre","Ligue 1","DF",23,1945,72,8,4,84.6,39,30,86,1,3.33161953727506,0.370179948586118,0.185089974293059,1.80462724935733,1.38817480719794,3.97943444730077,2.22339331619537,2.44318766066838,0.185089974293059,84.6,10.2432262210797,"2","Balanced centre-backs"
"Strahinja Pavlović","Milan","Serie A","DF",23,1864,94,40,6,88.2,52,16,67,10,4.53862660944206,1.931330472103,0.289699570815451,2.51072961373391,0.772532188841202,3.23497854077253,2.17033261802575,3.75643776824034,0.289699570815451,88.2,11.1256464592275,"1","Progressive distributors"
"Trevoh Chalobah","Chelsea","Premier League","DF",25,910,37,4,3,90,11,10,29,3,3.65934065934066,0.395604395604396,0.296703296703297,1.08791208791209,0.989010989010989,2.86813186813187,1.5032967032967,2.68021978021978,0.296703296703297,90,10.6427472527473,"2","Balanced centre-backs"
"Trevoh Chalobah","Crystal Palace","Premier League","DF",25,1060,34,11,4,79,20,19,56,7,2.88679245283019,0.933962264150943,0.339622641509434,1.69811320754717,1.61320754716981,4.75471698113208,2.43679245283019,2.30094339622641,0.339622641509434,79,9.72419811320755,"1","Progressive distributors"
"Wout Faes","Leicester City","Premier League","DF",26,2815,86,12,4,88,42,26,90,5,2.74955595026643,0.383658969804618,0.127886323268206,1.34280639431616,0.831261101243339,2.87744227353464,1.57300177619893,2.03978685612789,0.127886323268206,88,10.185648312611,"2","Balanced centre-backs"
"Christopher Wooh","Rennes","Ligue 1","DF",22,1456,59,14,2,87.1,36,23,53,0,3.64697802197802,0.865384615384615,0.123626373626374,2.22527472527473,1.4217032967033,3.2760989010989,2.24690934065934,2.8125,0.123626373626374,87.1,10.6399622252747,"2","Balanced centre-backs"
"Fali Candé","Venezia","Serie A","DF",26,1530,47,5,4,81,25,15,79,7,2.76470588235294,0.294117647058824,0.235294117647059,1.47058823529412,0.882352941176471,4.64705882352941,2.08823529411765,2.02352941176471,0.235294117647059,81,9.67558823529412,"2","Balanced centre-backs"
"Leny Yoro","Manchester Utd","Premier League","DF",18,1165,52,19,2,92.4,29,18,46,1,4.01716738197425,1.46781115879828,0.15450643776824,2.24034334763948,1.39055793991416,3.55364806866953,2.3137339055794,3.25236051502146,0.15450643776824,92.4,11.3739270386266,"1","Progressive distributors"
"Alexsandro Ribeiro","Lille","Ligue 1","DF",24,2700,178,25,9,91.2,32,27,175,8,5.93333333333333,0.833333333333333,0.3,1.06666666666667,0.9,5.83333333333333,2.20833333333333,4.40333333333333,0.3,91.2,11.69925,"1","Progressive distributors"
"Christian Mawissa","Monaco","Ligue 1","DF",19,1501,44,13,1,87.5,42,26,70,3,2.63824117255163,0.77948034643571,0.0599600266489007,2.51832111925383,1.55896069287142,4.19720186542305,2.65023317788141,2.08061292471685,0.0599600266489007,87.5,10.5188207861426,"2","Balanced centre-backs"
"Emmanuel Agbadou","Reims","Ligue 1","DF",27,1260,77,10,8,87.9,25,19,85,1,5.5,0.714285714285714,0.571428571428571,1.78571428571429,1.35714285714286,6.07142857142857,2.72857142857143,4.06428571428571,0.571428571428571,87.9,11.4564285714286,"1","Progressive distributors"
"Emmanuel Agbadou","Wolves","Premier League","DF",27,1410,31,6,4,85.4,30,12,83,2,1.97872340425532,0.382978723404255,0.25531914893617,1.91489361702128,0.765957446808511,5.29787234042553,2.41595744680851,1.5,0.25531914893617,85.4,10.0238829787234,"2","Balanced centre-backs"
"Julien Le Cardinal","Brest","Ligue 1","DF",26,1378,39,7,5,86.4,27,33,48,6,2.54716981132075,0.457184325108853,0.32656023222061,1.76342525399129,2.15529753265602,3.13497822931785,2.22387518142235,1.92017416545718,0.32656023222061,86.4,10.2354100145138,"2","Balanced centre-backs"
"Jérémy Jacquet","Rennes","Ligue 1","DF",19,927,40,8,4,83.5,26,27,41,3,3.88349514563107,0.776699029126213,0.388349514563107,2.52427184466019,2.62135922330097,3.98058252427184,2.91747572815534,2.95145631067961,0.388349514563107,83.5,10.6099514563107,"1","Progressive distributors"
"Mamadou Sarr","Strasbourg","Ligue 1","DF",18,2365,52,7,5,93.8,37,25,98,1,1.97885835095137,0.266384778012685,0.190274841437632,1.40803382663848,0.951374207188161,3.72938689217759,1.85137420718816,1.46511627906977,0.190274841437632,93.8,10.6425687103594,"2","Balanced centre-backs"
"Mattia Viti","Empoli","Serie A","DF",22,2572,86,17,5,80.2,65,48,97,0,3.00933125972006,0.594867807153966,0.174961119751166,2.27449455676516,1.6796267496112,3.39424572317263,2.37597200622084,2.28499222395023,0.174961119751166,80.2,9.79183125972006,"2","Balanced centre-backs"
"Nathan Zeze","Nantes","Ligue 1","DF",19,1512,46,2,1,85.8,38,23,63,1,2.73809523809524,0.119047619047619,0.0595238095238095,2.26190476190476,1.36904761904762,3.75,2.36607142857143,1.95238095238095,0.0595238095238095,85.8,10.198005952381,"2","Balanced centre-backs"
"Sael Kumbedi","Lyon","Ligue 1","DF",19,951,37,23,5,85.7,28,8,32,14,3.50157728706625,2.17665615141956,0.473186119873817,2.64984227129338,0.757097791798107,3.02839116719243,2.17665615141956,3.10410094637224,0.473186119873817,85.7,10.6444479495268,"1","Progressive distributors"
"Youssouf Ndayishimiye","Nice","Ligue 1","DF",25,1932,86,17,5,89.4,40,21,114,2,4.00621118012422,0.791925465838509,0.232919254658385,1.86335403726708,0.978260869565217,5.31055900621118,2.45962732919255,3.04192546583851,0.232919254658385,89.4,11.0525776397516,"1","Progressive distributors"
"Abakar Sylla","Strasbourg","Ligue 1","DF",21,950,21,0,1,88.6,27,11,39,1,1.98947368421053,0,0.0947368421052632,2.55789473684211,1.04210526315789,3.69473684210526,2.38736842105263,1.39263157894737,0.0947368421052632,88.6,10.2668421052632,"2","Balanced centre-backs"
"Abdukodir Khusanov","Lens","Ligue 1","DF",20,975,43,2,2,88.1,15,26,50,5,3.96923076923077,0.184615384615385,0.184615384615385,1.38461538461538,2.4,4.61538461538461,2.49692307692308,2.83384615384615,0.184615384615385,88.1,10.8451538461538,"1","Progressive distributors"
"Arouna Sangante","Le Havre","Ligue 1","DF",22,1244,48,11,3,87.1,25,21,53,2,3.47266881028939,0.795819935691318,0.217041800643087,1.80868167202572,1.51929260450161,3.83440514469453,2.22829581993569,2.66961414790997,0.217041800643087,87.1,10.5903054662379,"2","Balanced centre-backs"
"Becir Omeragic","Montpellier","Ligue 1","DF",22,1799,51,21,3,92.1,32,13,75,7,2.55141745414119,1.05058365758755,0.150083379655364,1.60088938299055,0.650361311839911,3.7520844913841,1.85352973874375,2.1011673151751,0.150083379655364,92.1,10.7217148415787,"2","Balanced centre-backs"
"Etienne Youte Kinkoue","Le Havre","Ligue 1","DF",22,2320,63,12,3,89.1,19,29,65,2,2.44396551724138,0.46551724137931,0.116379310344828,0.737068965517241,1.125,2.52155172413793,1.29956896551724,1.85043103448276,0.116379310344828,89.1,10.1224784482759,"2","Balanced centre-backs"
"Joseph Okumu","Reims","Ligue 1","DF",27,1695,116,18,4,81.5,30,25,94,5,6.15929203539823,0.95575221238938,0.212389380530973,1.5929203539823,1.32743362831858,4.99115044247788,2.36283185840708,4.59823008849558,0.212389380530973,81.5,10.8481415929204,"1","Progressive distributors"
"Lucas Beraldo","Paris S-G","Ligue 1","DF",20,2011,131,9,8,94.4,38,21,115,3,5.86275484833416,0.402784684236698,0.358030830432621,1.70064644455495,0.939830929885629,5.14669318746892,2.33391347588265,4.22476379910492,0.358030830432621,94.4,12.0004798607658,"1","Progressive distributors"
"Wilfried Singo","Monaco","Ligue 1","DF",23,2096,118,35,7,86.2,37,43,138,10,5.06679389312977,1.50286259541985,0.300572519083969,1.58874045801527,1.84637404580153,5.92557251908397,2.75023854961832,3.99761450381679,0.300572519083969,86.2,11.2267151717557,"1","Progressive distributors"
"Charlie Cresswell","Toulouse","Ligue 1","DF",21,2592,69,8,5,83,35,28,103,4,2.39583333333333,0.277777777777778,0.173611111111111,1.21527777777778,0.972222222222222,3.57638888888889,1.73263888888889,1.76041666666667,0.173611111111111,83,9.63663194444445,"2","Balanced centre-backs"
"Cédric Kipré","Reims","Ligue 1","DF",27,2190,77,16,10,88.9,42,32,73,12,3.16438356164384,0.657534246575342,0.410958904109589,1.72602739726027,1.31506849315068,3,1.92123287671233,2.41232876712329,0.410958904109589,88.9,10.5890068493151,"1","Progressive distributors"
"Derek Cornelius","Marseille","Ligue 1","DF",26,1420,68,10,4,93.4,24,14,67,4,4.30985915492958,0.633802816901408,0.253521126760563,1.52112676056338,0.887323943661972,4.24647887323944,2.01232394366197,3.20704225352113,0.253521126760563,93.4,11.3651584507042,"1","Progressive distributors"
"Dylan Batubinsika","Saint-Étienne","Ligue 1","DF",28,2016,51,11,4,91.4,26,39,76,1,2.27678571428571,0.491071428571429,0.178571428571429,1.16071428571429,1.74107142857143,3.39285714285714,1.89285714285714,1.74107142857143,0.178571428571429,91.4,10.5257142857143,"2","Balanced centre-backs"
"Emmanuel Biumla","Angers","Ligue 1","DF",19,1336,16,3,1,88.2,19,8,37,0,1.07784431137725,0.202095808383234,0.0673652694610778,1.27994011976048,0.538922155688623,2.49251497005988,1.36077844311377,0.815119760479042,0.0673652694610778,88.2,9.6324251497006,"2","Balanced centre-backs"
"Gabriel Osho","Auxerre","Ligue 1","DF",25,1654,43,12,1,88.8,23,12,52,3,2.33978234582829,0.652962515114873,0.0544135429262394,1.25151148730351,0.652962515114873,2.82950423216445,1.46644498186215,1.83373639661427,0.0544135429262394,88.8,10.1349123337364,"2","Balanced centre-backs"
"Mark Mckenzie","Toulouse","Ligue 1","DF",25,2496,97,10,4,86.1,52,22,128,1,3.49759615384615,0.360576923076923,0.144230769230769,1.875,0.793269230769231,4.61538461538461,2.23557692307692,2.55649038461538,0.144230769230769,86.1,10.4366826923077,"2","Balanced centre-backs"
"Moïse Bombito","Nice","Ligue 1","DF",24,2192,97,27,2,90.2,37,18,97,2,3.98266423357664,1.10857664233577,0.0821167883211679,1.51916058394161,0.739051094890511,3.98266423357664,1.90100364963504,3.12043795620438,0.0821167883211679,90.2,10.9458439781022,"2","Balanced centre-backs"
"Yael Mouanga","Montpellier","Ligue 1","DF",19,946,22,4,2,87.7,14,10,29,2,2.09302325581395,0.380549682875264,0.190274841437632,1.33192389006342,0.951374207188161,2.75898520084567,1.57452431289641,1.57928118393235,0.190274841437632,87.7,9.98133720930233,"2","Balanced centre-backs"
"Axel Tuanzebe","Ipswich Town","Premier League","DF",26,1710,61,10,5,83.8,31,23,49,10,3.21052631578947,0.526315789473684,0.263157894736842,1.63157894736842,1.21052631578947,2.57894736842105,1.74210526315789,2.40526315789474,0.263157894736842,83.8,9.99131578947368,"2","Balanced centre-backs"
"Fikayo Tomori","Milan","Serie A","DF",26,1593,63,8,8,92.4,40,20,60,6,3.55932203389831,0.451977401129944,0.451977401129944,2.25988700564972,1.12994350282486,3.38983050847458,2.20338983050847,2.6271186440678,0.451977401129944,92.4,11.1298305084746,"1","Progressive distributors"
"Tosin Adarabioyo","Chelsea","Premier League","DF",26,1409,42,5,1,91.1,17,11,41,0,2.68275372604684,0.319375443577005,0.063875088715401,1.08587650816182,0.702625975869411,2.61887863733144,1.3541518807665,1.97374024130589,0.063875088715401,91.1,10.3830305180979,"2","Balanced centre-backs"
"Jan Bednarek","Southampton","Premier League","DF",28,2531,60,5,5,92.7,36,56,106,1,2.1335440537337,0.177795337811142,0.177795337811142,1.28012643224022,1.99130778348479,3.76926116159621,2.11576451995259,1.54681943895693,0.177795337811142,92.7,10.6559146582379,"2","Balanced centre-backs"
"Marc Guéhi","Crystal Palace","Premier League","DF",24,3059,134,22,16,83.5,61,28,146,13,3.94246485779667,0.647270349787512,0.470742072572736,1.79470415168356,0.823798627002288,4.29552141222622,2.12863680941484,2.95390650539392,0.470742072572736,83.5,10.3471967963387,"1","Progressive distributors"
"Max Kilman","West Ham","Premier League","DF",27,3348,113,31,16,86.7,39,38,146,4,3.03763440860215,0.833333333333333,0.43010752688172,1.04838709677419,1.02150537634409,3.9247311827957,1.75940860215054,2.37634408602151,0.43010752688172,86.7,10.3008467741935,"1","Progressive distributors"
"Ezri Konsa","Aston Villa","Premier League","DF",26,2936,90,24,6,92.9,34,24,97,5,2.75885558583106,0.735694822888283,0.183923705722071,1.04223433242507,0.735694822888283,2.97343324250681,1.43307220708447,2.15190735694823,0.183923705722071,92.9,10.6799267711172,"2","Balanced centre-backs"
"Jarrad Branthwaite","Everton","Premier League","DF",22,2511,66,10,3,82.1,36,27,93,5,2.36559139784946,0.3584229390681,0.10752688172043,1.29032258064516,0.967741935483871,3.33333333333333,1.70430107526882,1.76344086021505,0.10752688172043,82.1,9.52801075268817,"2","Balanced centre-backs"
"Lloyd Kelly","Juventus","Serie A","DF",25,1013,36,10,3,83.1,15,2,55,14,3.19842053307009,0.888450148075025,0.266535044422507,1.33267522211254,0.177690029615005,4.88647581441264,1.8746298124383,2.50542941757157,0.266535044422507,83.1,10.0082724580454,"2","Balanced centre-backs"
"Taylor Harwood-Bellis","Southampton","Premier League","DF",22,2825,125,29,14,87.4,28,30,123,10,3.98230088495575,0.923893805309735,0.446017699115044,0.892035398230088,0.95575221238938,3.91858407079646,1.66778761061947,3.06477876106195,0.446017699115044,87.4,10.6165398230088,"1","Progressive distributors"
"Dara O'Shea","Ipswich Town","Premier League","DF",25,3122,80,3,3,78.2,49,33,110,8,2.30621396540679,0.0864830237027547,0.0864830237027547,1.41255605381166,0.951313260730301,3.17104420243434,1.71380525304292,1.64029468289558,0.0864830237027547,78.2,9.08892216527867,"2","Balanced centre-backs"
"Rúben Dias","Manchester City","Premier League","DF",27,2271,160,43,5,93.5,17,20,78,3,6.34081902245707,1.70409511228534,0.198150594451783,0.673712021136063,0.792602377807133,3.09114927344782,1.31373844121532,4.94980184940555,0.198150594451783,93.5,11.8194517833553,"1","Progressive distributors"
"Cristian Romero","Tottenham","Premier League","DF",26,1416,71,12,7,89.5,35,21,90,3,4.51271186440678,0.76271186440678,0.444915254237288,2.22457627118644,1.33474576271186,5.72033898305085,2.83156779661017,3.38771186440678,0.444915254237288,89.5,11.3628707627119,"1","Progressive distributors"
"Kristoffer Ajer","Brentford","Premier League","DF",26,1438,56,27,8,78.3,26,12,42,14,3.50486787204451,1.68984700973574,0.500695410292072,1.62726008344924,0.751043115438109,2.62865090403338,1.61474269819193,2.96036161335188,0.500695410292072,78.3,9.65440890125174,"1","Progressive distributors"
"Nathan Collins","Brentford","Premier League","DF",23,3420,127,32,10,85.9,40,34,162,8,3.3421052631579,0.842105263157895,0.263157894736842,1.05263157894737,0.894736842105263,4.26315789473684,1.80789473684211,2.59210526315789,0.263157894736842,85.9,10.2990789473684,"2","Balanced centre-backs"
"Toti Gomes","Wolves","Premier League","DF",25,2614,86,27,9,85.9,61,25,116,13,2.96097934200459,0.929609793420046,0.309869931140015,2.10022953328233,0.860749808722265,3.99387911247131,2.20179801071155,2.35156847742923,0.309869931140015,85.9,10.3477371843917,"2","Balanced centre-backs"
"Illia Zabarnyi","Bournemouth","Premier League","DF",21,3109,140,27,12,82.1,52,41,157,6,4.05275008041171,0.781601801222258,0.347378578321004,1.50530717272435,1.18687680926343,4.54486973303313,2.16966870376327,3.07140559665487,0.347378578321004,82.1,10.2500530717272,"1","Progressive distributors"
"Jakub Kiwior","Arsenal","Premier League","DF",24,1122,48,5,5,91.4,22,6,31,2,3.85026737967914,0.401069518716578,0.401069518716578,1.76470588235294,0.481283422459893,2.48663101604278,1.56016042780749,2.81550802139037,0.401069518716578,91.4,10.8724197860963,"1","Progressive distributors"
"Jan Paul Van Hecke","Brighton","Premier League","DF",24,2958,228,55,15,88.2,45,24,131,11,6.93711967545639,1.67342799188641,0.456389452332657,1.36916835699797,0.730223123732252,3.98580121703854,1.8316430020284,5.3580121703854,0.456389452332657,88.2,11.672738336714,"1","Progressive distributors"
"Levi Colwill","Chelsea","Premier League","DF",21,3149,131,14,14,89.3,47,33,121,13,3.74404572880279,0.400127024452207,0.400127024452207,1.34328358208955,0.943156557637345,3.45824071133693,1.75198475706574,2.74087011749762,0.400127024452207,89.3,10.6995617656399,"1","Progressive distributors"
"Lisandro Martínez","Manchester Utd","Premier League","DF",26,1751,117,23,9,89.4,40,32,81,9,6.01370645345517,1.18218161050828,0.462592804111936,2.05596801827527,1.64477441462022,4.16333523700742,2.45945174186179,4.5642490005711,0.462592804111936,89.4,11.6958966304969,"1","Progressive distributors"
"Marcos Senesi","Bournemouth","Premier League","DF",27,1106,62,12,3,76.3,39,14,71,11,5.04520795660036,0.976491862567812,0.244122965641953,3.17359855334539,1.13924050632911,5.77757685352622,3.21428571428571,3.8245931283906,0.244122965641953,76.3,10.3214556962025,"1","Progressive distributors"
"Calvin Bassey","Fulham","Premier League","DF",24,3074,116,39,3,89.7,54,20,168,8,3.39622641509434,1.14183474300586,0.0878334417696812,1.58100195185426,0.585556278464541,4.91867273910215,2.11678594664932,2.71990891346779,0.0878334417696812,89.7,10.8120136629798,"2","Balanced centre-backs"
"Igor","Brighton","Premier League","DF",26,961,49,9,2,91.9,5,4,42,4,4.58896982310094,0.842872008324662,0.187304890738814,0.468262226847034,0.374609781477628,3.93340270551509,1.30645161290323,3.46514047866805,0.187304890738814,91.9,11.0614099895942,"2","Balanced centre-backs"
"Murillo","Nott'ham Forest","Premier League","DF",22,3188,115,22,13,78.5,53,36,142,14,3.2465495608532,0.62107904642409,0.367001254705144,1.49623588456713,1.01631116687578,4.00878293601004,1.98039523212045,2.45890840652447,0.367001254705144,78.5,9.58175188205772,"2","Balanced centre-backs"
"Myles Lewis-Skelly","Arsenal","Premier League","DF",17,1369,71,37,8,91.2,22,7,53,10,4.66764061358656,2.43243243243243,0.525931336742148,1.44631117604091,0.460189919649379,3.48429510591673,1.6599707815924,3.99707815924032,0.525931336742148,91.2,11.3787107377648,"1","Progressive distributors"
"Radu Drăgușin","Tottenham","Premier League","DF",22,1252,37,7,4,85.2,10,15,48,1,2.65974440894569,0.503194888178914,0.287539936102236,0.718849840255591,1.07827476038339,3.45047923322684,1.50958466453674,2.01277955271566,0.287539936102236,85.2,9.89659744408946,"2","Balanced centre-backs"
"Caleb Okoli","Leicester City","Premier League","DF",23,1125,32,3,0,86.3,25,15,44,1,2.56,0.24,0,2,1.2,3.52,2.14,1.864,0,86.3,10.1246,"2","Balanced centre-backs"
