"Player","Squad","League","Pos","Age","Min","PrgP","PrgC","KP","Cmp.","Tkl","Int","Recov","Crs","PrgP_90","PrgC_90","KP_90","Tkl_90","Int_90","Recov_90","Defensive_Intensity","Ball_Progression","Creative_Involvement","Passing_Security","Modern_CB_Score","Cluster","Cluster_Label"
"Chris Richards","Crystal Palace","Premier League","DF",24,1922,39,6,2,79.8,47,19,51,5,1.82622268470343,0.280957336108221,0.0936524453694069,2.20083246618106,0.889698231009365,2.38813735691988,1.85431841831426,1.36264308012487,0.0936524453694069,79.8,9.18811654526535,"2","Balanced centre-backs"
"Edmond Tapsoba","Leverkusen","Bundesliga","DF",25,2507,164,52,4,86.4,39,24,124,8,5.88751495811727,1.8667730355006,0.143597925807738,1.40007977662545,0.86158755484643,4.45153570003989,2.00139609094535,4.68129238133227,0.143597925807738,86.4,11.2345452732349,"1","Progressive distributors"
"Jean-Clair Todibo","West Ham","Premier League","DF",24,1825,38,9,2,87.9,47,26,79,3,1.87397260273973,0.443835616438356,0.0986301369863014,2.31780821917808,1.28219178082192,3.8958904109589,2.40164383561644,1.44493150684931,0.0986301369863014,87.9,10.2233424657534,"2","Balanced centre-backs"
"Malick Thiaw","Milan","Serie A","DF",22,1806,89,12,4,93.1,24,15,65,3,4.43521594684385,0.598006644518272,0.199335548172757,1.19601328903654,0.747508305647841,3.23920265780731,1.57225913621262,3.28405315614618,0.199335548172757,93.1,11.2038122923588,"2","Balanced centre-backs"
"Marin Pongračić","Fiorentina","Serie A","DF",26,1367,34,7,5,89.2,18,12,73,1,2.23847841989759,0.460863204096562,0.329188002926116,1.18507681053402,0.790051207022677,4.80614484272129,1.97183613752743,1.70519385515728,0.329188002926116,89.2,10.3415983906364,"2","Balanced centre-backs"
"Konstantinos Mavropanos","West Ham","Premier League","DF",26,2045,61,17,5,86.3,35,40,77,2,2.68459657701711,0.748166259168704,0.220048899755501,1.54034229828851,1.76039119804401,3.38875305623472,2.06845965770171,2.10366748166259,0.220048899755501,86.3,10.228435207824,"2","Balanced centre-backs"
"Max Geschwill","Holstein Kiel","Bundesliga","DF",23,1282,58,6,10,74.3,26,30,53,10,4.07176287051482,0.421216848673947,0.702028081123245,1.82527301092044,2.10608424336973,3.7207488299532,2.38338533541342,2.97659906396256,0.702028081123245,74.3,9.56012870514821,"1","Progressive distributors"
"Maxence Lacroix","Crystal Palace","Premier League","DF",24,3116,65,8,8,81.7,68,54,130,7,1.87740693196406,0.231065468549422,0.231065468549422,1.96405648267009,1.5596919127086,3.75481386392811,2.29043645699615,1.38350449293967,0.231065468549422,81.7,9.55971437740693,"2","Balanced centre-backs"
"Omar Alderete","Getafe","La Liga","DF",27,2971,112,25,11,65.5,43,40,115,6,3.39279703803433,0.757320767418378,0.333221137664086,1.30259171995961,1.2117132278694,3.48367553012454,1.82059912487378,2.60215415684955,0.333221137664086,65.5,8.27805452709526,"2","Balanced centre-backs"
"Tim Siersleben","Heidenheim","Bundesliga","DF",24,1182,31,8,6,80.8,21,20,37,10,2.36040609137056,0.609137055837563,0.456852791878173,1.5989847715736,1.52284263959391,2.81725888324873,1.88071065989848,1.83502538071066,0.456852791878173,80.8,9.54078680203046,"2","Balanced centre-backs"
"David Nemeth","St Pauli","Bundesliga","DF",23,2137,65,14,3,86.4,43,18,87,7,2.73748245203556,0.589611605053814,0.126345343940103,1.81094992980814,0.758072063640618,3.66401497426299,1.9583528310716,2.09312119794104,0.126345343940103,86.4,10.1816237716425,"2","Balanced centre-backs"
"Erhan Mašović","Bochum","Bundesliga","DF",25,910,35,1,3,82.7,14,12,32,0,3.46153846153846,0.0989010989010989,0.296703296703297,1.38461538461538,1.18681318681319,3.16483516483516,1.77032967032967,2.45274725274725,0.296703296703297,82.7,9.91521978021978,"2","Balanced centre-backs"
"Julian Chabot","Stuttgart","Bundesliga","DF",26,2269,108,7,6,89.9,37,38,98,2,4.28382547377699,0.277655354781842,0.237990304098722,1.46760687527545,1.50727192595857,3.88717496694579,2.08439841339797,3.08197443807845,0.237990304098722,89.9,10.9880277655355,"1","Progressive distributors"
"Micky Van De Ven","Tottenham","Premier League","DF",23,1015,51,8,2,90.9,10,10,63,0,4.52216748768473,0.70935960591133,0.177339901477832,0.886699507389163,0.886699507389163,5.58620689655172,2.0615763546798,3.37832512315271,0.177339901477832,90.9,11.1894827586207,"1","Progressive distributors"
"Odilon Kossounou","Atalanta","Serie A","DF",23,1125,46,13,1,88.2,16,13,62,3,3.68,1.04,0.08,1.28,1.04,4.96,2.128,2.888,0.08,88.2,10.732,"2","Balanced centre-backs"
"Andreas Hanche-Olsen","Mainz 05","Bundesliga","DF",27,1284,34,2,3,82.6,21,12,44,1,2.38317757009346,0.14018691588785,0.210280373831776,1.47196261682243,0.841121495327103,3.08411214953271,1.6857476635514,1.71028037383178,0.210280373831776,82.6,9.56566588785047,"2","Balanced centre-backs"
"Danilho Doekhi","Union Berlin","Bundesliga","DF",26,3060,96,13,13,78.3,37,44,97,10,2.82352941176471,0.382352941176471,0.382352941176471,1.08823529411765,1.29411764705882,2.85294117647059,1.59117647058824,2.09117647058823,0.382352941176471,78.3,9.28073529411765,"2","Balanced centre-backs"
"Diogo Leite","Union Berlin","Bundesliga","DF",25,2546,116,20,13,78.6,64,57,104,10,4.10054988216811,0.706991358994501,0.459544383346426,2.2623723487824,2.01492537313433,3.67635506677141,2.54163393558523,3.08248232521603,0.459544383346426,78.6,10.0514964650432,"1","Progressive distributors"
"Ko Itakura","Gladbach","Bundesliga","DF",27,2790,69,23,7,89,40,28,95,9,2.2258064516129,0.741935483870968,0.225806451612903,1.29032258064516,0.903225806451613,3.06451612903226,1.61774193548387,1.78064516129032,0.225806451612903,89,10.2123387096774,"2","Balanced centre-backs"
"Matthijs De Ligt","Manchester Utd","Premier League","DF",24,2123,55,7,6,89.9,30,33,68,6,2.33160621761658,0.29674988224211,0.254357041921809,1.27178520960904,1.39896373056995,2.8827131417805,1.71267074894018,1.72114931700424,0.254357041921809,89.9,10.316048045219,"2","Balanced centre-backs"
"Moritz Jenz","Mainz 05","Bundesliga","DF",25,1600,47,1,3,84.3,36,30,73,0,2.64375,0.05625,0.16875,2.025,1.6875,4.10625,2.4440625,1.8675,0.16875,84.3,10.057734375,"2","Balanced centre-backs"
"Renato Veiga","Juventus","Serie A","DF",21,1093,40,9,2,88,17,19,38,0,3.29368709972553,0.741079597438243,0.164684354986276,1.39981701738335,1.56450137236962,3.12900274473925,1.88151875571821,2.52790484903934,0.164684354986276,88,10.4943961573651,"2","Balanced centre-backs"
"Sepp Van Den Berg","Brentford","Premier League","DF",22,2586,79,12,6,85.4,39,21,97,7,2.74941995359629,0.417633410672854,0.208816705336427,1.35730858468677,0.730858468677494,3.37587006960557,1.67401392111369,2.04988399071926,0.208816705336427,85.4,9.97718097447796,"2","Balanced centre-backs"
"Stanley N'Soki","Hoffenheim","Bundesliga","DF",25,1308,52,10,7,85.8,22,26,79,1,3.57798165137615,0.688073394495413,0.481651376146789,1.51376146788991,1.78899082568807,5.43577981651376,2.57683486238532,2.71100917431193,0.481651376146789,85.8,10.6385435779817,"1","Progressive distributors"
"Tim Oermann","Bochum","Bundesliga","DF",20,2213,61,15,7,82.4,50,22,99,14,2.48079530049706,0.61003163126977,0.284681427925892,2.03343877089923,0.894713059195662,4.02620876638048,2.19001355625847,1.91956619972887,0.284681427925892,82.4,9.8170334387709,"2","Balanced centre-backs"
"Anthony Rouault","Rennes","Ligue 1","DF",23,972,36,3,1,91.6,12,8,48,0,3.33333333333333,0.277777777777778,0.0925925925925926,1.11111111111111,0.740740740740741,4.44444444444444,1.83333333333333,2.41666666666667,0.0925925925925926,91.6,10.7822222222222,"2","Balanced centre-backs"
"Anthony Rouault","Stuttgart","Bundesliga","DF",23,1212,52,6,6,90,15,19,63,1,3.86138613861386,0.445544554455446,0.445544554455446,1.11386138613861,1.41089108910891,4.67821782178218,2.09405940594059,2.83663366336634,0.445544554455446,90,10.9344059405941,"1","Progressive distributors"
"Benedikt Gimber","Heidenheim","Bundesliga","DF",27,2671,46,7,3,82.5,72,31,98,3,1.54998128041932,0.235866716585548,0.101085735679521,2.4260576563085,1.04455260202171,3.30213403219768,2.23062523399476,1.15574691126919,0.101085735679521,82.5,9.50818045675777,"2","Balanced centre-backs"
"Castello Lukeba","RB Leipzig","Bundesliga","DF",21,1577,80,18,4,85.1,31,17,74,11,4.56563094483196,1.02726696258719,0.228281547241598,1.76918199112238,0.970196575776791,4.22320862396956,2.1429930247305,3.50412175015853,0.228281547241598,85.1,10.6959384908053,"1","Progressive distributors"
"Cedric Zesiger","Augsburg","Bundesliga","DF",26,1221,40,4,7,78.6,13,21,57,13,2.94840294840295,0.294840294840295,0.515970515970516,0.958230958230958,1.54791154791155,4.2014742014742,1.94594594594595,2.15233415233415,0.515970515970516,78.6,9.47941031941032,"1","Progressive distributors"
"El Chadaille Bitshiabu","RB Leipzig","Bundesliga","DF",19,1130,69,4,5,84.4,27,13,55,4,5.49557522123894,0.31858407079646,0.398230088495575,2.15044247787611,1.0353982300885,4.38053097345133,2.37345132743363,3.94247787610619,0.398230088495575,84.4,10.9074336283186,"1","Progressive distributors"
"Kim Min-Jae","Bayern Munich","Bundesliga","DF",27,2283,181,16,6,92.5,35,37,153,0,7.1353482260184,0.630749014454665,0.236530880420499,1.37976346911958,1.45860709592641,6.03153745072273,2.56636005256242,5.18396846254928,0.236530880420499,92.5,12.2572930354796,"1","Progressive distributors"
"Max Rosenfelder","Freiburg","Bundesliga","DF",21,1249,29,24,5,85.3,27,7,60,9,2.08967173738991,1.72938350680544,0.360288230584468,1.94555644515612,0.504403522818255,4.32345876701361,2.10768614891914,1.98158526821457,0.360288230584468,85.3,10.1143674939952,"2","Balanced centre-backs"
